DateOfDeparture,Departure,CityDeparture,LongitudeDeparture,LatitudeDeparture,Arrival,CityArrival,LongitudeArrival,LatitudeArrival,WeeksToDeparture,std_wtd,Norm mean,Norm std,Norm std(MAX),Norm mean(MAX),CV,CV of norm,Norm CV(MAX),Distance,Norm Distance,Norm Distance(MAX),mean(MinMaxScale),std(MinMaxScale),CV(MinMaxScale),Distance(MinMaxScale),mean(StandardScale),std(StandardScale),CV(StandardScale),Distance(StandardScale),Airports,Date(Norm),Day,Month,Year,IsHolidays
2012-10-21,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,SFO,San Francisco,0.5460776929914688,0.0,14.6,11.575836902799999,0.146,0.11575836902799999,0.33266910312535475,0.3606115573986137,0.7928655412876712,0.07928655412876712,0.36839589060891353,2821.5329251956728,0.2821532925195673,0.49422811390396004,0.580504873782193,0.6329625452901684,0.17869973985358556,0.47997142230952744,1.0911676892988966,1.337354531677703,0.34565795192709353,0.5905736918077742,2,0.8060109289617486,21,10,2012,0
2012-09-13,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,ATL,Atlanta,0.3621887489465847,0.7387003640355518,14.7307692308,13.3643037748,0.147307692308,0.133643037748,0.5871063604092123,0.44989566427215405,0.9072373319688621,0.09072373319688622,0.5211310244530839,3779.583120066245,0.3779583120066245,0.662043040537633,0.5869109645687034,0.7531921371763807,0.26826015319110597,0.6525167139945791,1.1371549559456893,2.161747683685928,1.508791926527873,1.215238542086762,2,0.7021857923497268,13,9,2012,0
2012-09-04,ORD,Chicago,0.7473928633272919,0.6710189398000861,IAH,Houston,0.1935367281207072,0.5262526896201161,8.470588235289998,5.88555060146,0.08470588235289998,0.058855506014600004,0.4189337952781873,0.3993392070488451,0.6948219460060324,0.06948219460060324,0.4189337952781873,823.5052672605634,0.08235052672605635,0.14424763623835418,0.28023876383855856,0.2504333464346403,0.10192534586865187,0.12012569932025531,-1.064346199459908,-1.2855808624484593,-0.6514221495986477,-0.712173966383479,2,0.6775956284153005,4,9,2012,1
2012-08-13,DEN,Denver,0.6496383639449108,0.34459434731456895,PHX,Phoenix,0.3528406081525697,0.20173963223618063,8.2,6.292853089019999,0.08199999999999999,0.0629285308902,0.43463440572742756,0.3741556534513141,0.7674211084170731,0.07674211084170732,0.46388864457428763,845.501645814704,0.0845501645814704,0.14810058744386828,0.26698325418674695,0.27781423484819867,0.158775124601371,0.12408725746612233,-1.1595032425322007,-1.0978349294388718,0.08689410675186417,-0.6978319573846097,2,0.6174863387978142,13,8,2012,0
2012-09-10,ORD,Chicago,0.7473928633272919,0.6710189398000861,SEA,Seattle,1.0000000000000002,0.0012766862525279699,12.090909090899999,9.13866245767,0.12090909090899998,0.09138662457669999,0.5786998516125933,0.6060042421265786,0.7558292258228992,0.07558292258228992,0.3813464061757955,3825.7988929494127,0.38257988929494124,0.6701383330152416,0.4575901479176238,0.4691236207448074,0.149697940530798,0.6608401964752163,0.208802380793735,0.21393986055897707,-0.030992588862182816,1.2453720037813152,2,0.6939890710382514,10,9,2012,0
2011-11-11,MCO,Orlando,0.12172951756461914,0.799418501658604,PHL,Philadelphia,0.6501134340764001,0.9175397687680062,14.862068965499999,9.807883629039999,0.148620689655,0.09807883629039998,0.5613035057361347,0.589461199591937,0.6599272047389558,0.06599272047389558,0.3802633609295682,719.5833211080045,0.07195833211080045,0.12604435851596282,0.5933430435492653,0.5141119789722378,0.0746005358558699,0.10140930783327907,1.1833287834841928,0.5224171152924659,-1.0062933889217847,-0.7799328241987097,2,0.863013698630137,11,11,2011,0
2012-11-15,IAH,Houston,0.1935367281207072,0.5262526896201161,ORD,Chicago,0.7473928633272919,0.6710189398000861,7.176470588239999,5.1506710014,0.07176470588239998,0.051506710014,0.39249244032853,0.41126825875284795,0.7177164510142836,0.07177164510142836,0.38110799109262883,823.5052672605634,0.08235052672605635,0.14424763623835418,0.21684284811197047,0.20103110377419212,0.11985320482307238,0.12012569932025531,-1.519445101113828,-1.624323345926793,-0.41859046577030323,-0.712173966383479,2,0.8743169398907104,15,11,2012,0
2013-03-02,MIA,Miami,0.0,0.8192441545511606,JFK,New York,0.6855685441510919,0.9460042871958705,17.4193548387,12.8498357799,0.174193548387,0.12849835779899998,0.45963961166719053,0.412290748899078,0.7376757577354098,0.07376757577354098,0.4452006709865458,807.8739736741641,0.0807873973674164,0.1415096122804911,0.718618732413987,0.7186070531394733,0.13548261614231294,0.11731049597734035,2.082642686483184,1.924603849174375,-0.21560905209696216,-0.7223658328640595,2,0.16712328767123288,2,3,2013,0
2013-03-04,ATL,Atlanta,0.3621887489465847,0.7387003640355518,DTW,Detroit,0.7581909654479757,0.7596208255651364,11.777777777799999,10.8928230855,0.11777777777799998,0.108928230855,0.6534926597094641,0.6835535976497372,0.9248623374463683,0.09248623374463683,0.38177729067317495,156.51256917638386,0.015651256917638388,0.027415207944434267,0.4422505484755675,0.5870469771618129,0.2820616576201269,0.0,0.09868432700619266,1.0225195618359377,1.6880340504057463,-1.147064430491384,2,0.1726027397260274,4,3,2013,0
2012-01-05,LGA,New York,0.6919176200316315,0.9441805859593362,ORD,Chicago,0.7473928633272919,0.6710189398000861,14.36,10.9729971597,0.1436,0.109729971597,0.469151941924069,0.42717366102542725,0.7641362924582173,0.07641362924582173,0.43858220102721085,1560.8617188022472,0.15608617188022472,0.2734051892359292,0.5687478130473638,0.5924366751046892,0.15620290401043124,0.25292394380503647,1.0067675293552303,1.0594757720816255,0.05348830782801893,-0.23140515085523156,1,0.01366120218579235,5,1,2012,2
2012-07-06,MIA,Miami,0.0,0.8192441545511606,JFK,New York,0.6855685441510919,0.9460042871958705,14.448275862100001,9.3678256621,0.14448275862100002,0.09367825662099999,0.3128237923818669,0.3281057268725647,0.6483697952274855,0.06483697952274856,0.38073948414898284,807.8739736741641,0.0807873973674164,0.1415096122804911,0.573072249181235,0.4845291051713345,0.06555034640973667,0.11731049597734035,1.0378112663569186,0.3195725560156658,-1.123829501464054,-0.7223658328640595,2,0.5136612021857924,6,7,2012,1
2012-02-05,SEA,Seattle,1.0000000000000002,0.0012766862525279699,ORD,Chicago,0.7473928633272919,0.6710189398000861,9.11764705882,7.210082809349999,0.0911764705882,0.07210082809349999,0.7768705546527087,0.7605856439489309,0.7907832758644996,0.07907832758644996,0.4078894648390705,3825.7988929494127,0.38257988929494124,0.6701383330152416,0.3119367217020976,0.3394749548020768,0.1770691931001689,0.6608401964752163,-0.8367967486311889,-0.6750382245645581,0.3244818066258585,1.2453720037813152,2,0.09836065573770492,5,2,2012,0
2012-09-13,PHX,Phoenix,0.3528406081525697,0.20173963223618063,ORD,Chicago,0.7473928633272919,0.6710189398000861,9.70588235294,8.96357006082,0.0970588235294,0.0896357006082,0.753841146923827,0.8497475018824976,0.9235193395997484,0.09235193395997485,0.3542679739410171,2679.014872379074,0.2679014872379074,0.46926422714161514,0.3407530470326766,0.4573530435285166,0.2810100045723054,0.4543038538196032,-0.6299336115135326,0.1332310841249868,1.6743760809544022,0.49764952290578823,2,0.7021857923497268,13,9,2012,0
2012-01-01,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,PHL,Philadelphia,0.6501134340764001,0.9175397687680062,9.105263157889999,5.801290439219999,0.09105263157889999,0.05801290439219999,0.5239199686143815,0.5745171128439929,0.6371359441921234,0.06371359441921234,0.3641698047736587,2420.4928123669188,0.24204928123669187,0.42398073284621784,0.31133006222139703,0.24476896143708501,0.05675352390563099,0.40774390895382934,-0.8411517620445996,-1.3244205534851068,-1.2380751010739819,0.329088789057052,2,0.00273224043715847,1,1,2012,2
2012-06-15,DEN,Denver,0.6496383639449108,0.34459434731456895,SEA,Seattle,1.0000000000000002,0.0012766862525279699,12.68,9.017205775630002,0.1268,0.09017205775630002,0.7095785135767415,0.5671205446557038,0.7111361021790222,0.07111361021790222,0.4996513062715127,1986.4462899651512,0.1986446289965151,0.347951850745428,0.4864483879035592,0.4609587016500565,0.11470037161060798,0.3295719256760503,0.41596640974956745,0.15795444729412644,-0.485511052126707,0.04608315179308358,2,0.4562841530054645,15,6,2012,0
2012-01-21,CLT,Charlotte,0.4350230308347669,0.8065405004832809,ATL,Atlanta,0.3621887489465847,0.7387003640355518,8.125,6.04290217252,0.08125,0.0604290217252,0.4715009891362227,0.5197221280943362,0.7437418058486154,0.07437418058486153,0.3622875012361,388.234640924886,0.038823464092488595,0.0680043364452963,0.26330917270711285,0.26101129756551145,0.14023271905762313,0.04173325434698252,-1.185878292514596,-1.2130497131884583,-0.15391878205738796,-0.995977740013053,2,0.05737704918032787,21,1,2012,0
2013-02-07,DEN,Denver,0.6496383639449108,0.34459434731456895,MSP,Minneapolis,0.881461320896298,0.5675158208024074,6.57142857143,4.30945803686,0.0657142857143,0.0430945803686,0.6577881178440205,0.6629955947124487,0.6557870925655096,0.06557870925655096,0.39620261051645755,1275.4904022040619,0.1275490402204062,0.2234186991598547,0.1872031992004758,0.1444806062506154,0.07135856372874705,0.20152843517238794,-1.732218613578004,-2.012080154959437,-1.0483973474146329,-0.4174720518497095,2,0.10410958904109589,7,2,2013,0
2012-06-16,DTW,Detroit,0.7581909654479757,0.7596208255651364,ATL,Atlanta,0.3621887489465847,0.7387003640355518,11.05,10.0915545722,0.1105,0.100915545722,0.557679849982619,0.6252468479427205,0.9132628572126696,0.09132628572126697,0.3561848089469779,156.51256917638386,0.015651256917638388,0.027415207944434267,0.40659835041284403,0.5331817432826969,0.27297852411279,0.0,-0.15725134320116474,0.6531751330260027,1.5700700886004002,-1.147064430491384,2,0.45901639344262296,16,6,2012,0
2012-12-25,ATL,Atlanta,0.3621887489465847,0.7387003640355518,CLT,Charlotte,0.4350230308347669,0.8065405004832809,7.64705882353,5.89428935995,0.07647058823530001,0.0589428935995,0.3441980485454524,0.3813509544789335,0.7707916855318638,0.07707916855318639,0.36043380555244936,388.234640924886,0.038823464092488595,0.0680043364452963,0.23989590837613983,0.25102080901686297,0.16141450165220428,0.04173325434698252,-1.3539545914218125,-1.2815527349114066,0.12117207628329418,-0.995977740013053,2,0.9836065573770492,25,12,2012,2
2012-11-02,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,ATL,Atlanta,0.3621887489465847,0.7387003640355518,15.2068965517,12.1107370023,0.152068965517,0.12110737002300001,0.3514288101952345,0.3976350568054162,0.7963976713543254,0.07963976713543254,0.35293493366747963,3779.583120066245,0.3779583120066245,0.662043040537633,0.6102353721909235,0.6689211764896729,0.1814656231788998,0.6525167139945791,1.3045933811019776,1.5839165373486244,0.3815788766478259,1.215238542086762,2,0.8387978142076503,2,11,2012,0
2011-12-26,LAS,Las Vegas,0.4750149960172241,0.14060113014463704,SFO,San Francisco,0.5460776929914688,0.0,10.1904761905,6.53160812985,0.101904761905,0.0653160812985,0.3397972521037729,0.35446325063797346,0.64095219965668,0.064095219965668,0.3828164554950914,807.5231832777396,0.08075231832777396,0.14144816678947722,0.36449221028233036,0.2938645299748097,0.05974189555541998,0.1172473184615949,-0.4595177890227868,-0.9877808804938172,-1.199264688470101,-0.7225945541060518,2,0.9863013698630136,26,12,2011,2
