DateOfDeparture,Departure,CityDeparture,LongitudeDeparture,LatitudeDeparture,Arrival,CityArrival,LongitudeArrival,LatitudeArrival,WeeksToDeparture,std_wtd,Norm mean,Norm std,CV,CV of norm,Distance,Norm Distance,Airports,Day,Month,Year,IsHolidays
2012-10-21,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,SFO,San Francisco,0.5460776929914688,0.0,14.6,11.575836902799999,0.580504873782193,0.6329625452901684,0.7928655412876712,0.17869973985358556,2821.5329251956728,0.47997142230952744,2,21,10,2012,0
2012-09-13,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,ATL,Atlanta,0.3621887489465847,0.7387003640355518,14.7307692308,13.3643037748,0.5869109645687034,0.7531921371763807,0.9072373319688621,0.26826015319110597,3779.583120066245,0.6525167139945791,2,13,9,2012,0
2012-09-04,ORD,Chicago,0.7473928633272919,0.6710189398000861,IAH,Houston,0.1935367281207072,0.5262526896201161,8.470588235289998,5.88555060146,0.28023876383855856,0.2504333464346403,0.6948219460060324,0.10192534586865187,823.5052672605634,0.12012569932025531,2,4,9,2012,1
2012-08-13,DEN,Denver,0.6496383639449108,0.34459434731456895,PHX,Phoenix,0.3528406081525697,0.20173963223618063,8.2,6.292853089019999,0.26698325418674695,0.27781423484819867,0.7674211084170731,0.158775124601371,845.501645814704,0.12408725746612233,2,13,8,2012,0
2012-09-10,ORD,Chicago,0.7473928633272919,0.6710189398000861,SEA,Seattle,1.0000000000000002,0.0012766862525279699,12.090909090899999,9.13866245767,0.4575901479176238,0.4691236207448074,0.7558292258228992,0.149697940530798,3825.7988929494127,0.6608401964752163,2,10,9,2012,0
2011-11-11,MCO,Orlando,0.12172951756461914,0.799418501658604,PHL,Philadelphia,0.6501134340764001,0.9175397687680062,14.862068965499999,9.807883629039999,0.5933430435492653,0.5141119789722378,0.6599272047389558,0.0746005358558699,719.5833211080045,0.10140930783327907,2,11,11,2011,0
2012-11-15,IAH,Houston,0.1935367281207072,0.5262526896201161,ORD,Chicago,0.7473928633272919,0.6710189398000861,7.176470588239999,5.1506710014,0.21684284811197047,0.20103110377419212,0.7177164510142836,0.11985320482307238,823.5052672605634,0.12012569932025531,2,15,11,2012,0
2013-03-02,MIA,Miami,0.0,0.8192441545511606,JFK,New York,0.6855685441510919,0.9460042871958705,17.4193548387,12.8498357799,0.718618732413987,0.7186070531394733,0.7376757577354098,0.13548261614231294,807.8739736741641,0.11731049597734035,2,2,3,2013,0
2013-03-04,ATL,Atlanta,0.3621887489465847,0.7387003640355518,DTW,Detroit,0.7581909654479757,0.7596208255651364,11.777777777799999,10.8928230855,0.4422505484755675,0.5870469771618129,0.9248623374463683,0.2820616576201269,156.51256917638386,0.0,2,4,3,2013,0
2012-01-05,LGA,New York,0.6919176200316315,0.9441805859593362,ORD,Chicago,0.7473928633272919,0.6710189398000861,14.36,10.9729971597,0.5687478130473638,0.5924366751046892,0.7641362924582173,0.15620290401043124,1560.8617188022472,0.25292394380503647,1,5,1,2012,2
2012-07-06,MIA,Miami,0.0,0.8192441545511606,JFK,New York,0.6855685441510919,0.9460042871958705,14.448275862100001,9.3678256621,0.573072249181235,0.4845291051713345,0.6483697952274855,0.06555034640973667,807.8739736741641,0.11731049597734035,2,6,7,2012,1
