DateOfDeparture,Departure,CityDeparture,LongitudeDeparture,LatitudeDeparture,Arrival,CityArrival,LongitudeArrival,LatitudeArrival,WeeksToDeparture,std_wtd,Norm mean,Norm std,CV,CV of norm,Distance,Norm Distance,Airports,Day,Month,Year,IsHolidays,PAX
2011-12-05,ORD,Chicago,0.7473928633272919,0.6710189398000861,EWR,Newark,0.6880043406485579,0.9384172867013378,8.352941176469999,5.66724333859,0.29665642692170335,0.25594835781444436,0.6784727940565971,0.13795868261698108,1527.9398870021992,0.24699470637973342,2,5,12,2011,0,7
2013-03-01,ATL,Atlanta,0.3621887489465847,0.7387003640355518,LGA,New York,0.6919176200316315,0.9441805859593362,10.4210526316,10.0017542321,0.4037662131176587,0.5722905510221128,0.959764294997556,0.41833080262531963,1181.3369431650299,0.18457135281905562,1,1,3,2013,0,7
2012-02-06,ORD,Chicago,0.7473928633272919,0.6710189398000861,BOS,Boston,0.765205407339852,1.0,9.25,7.136820757610001,0.34311609840369983,0.36320136864833663,0.771548190011892,0.2307298683702217,1879.7523868796684,0.3103563034388581,2,6,2,2012,0,7
2012-12-10,ORD,Chicago,0.7473928633272919,0.6710189398000861,SFO,San Francisco,0.5460776929914688,0.0,8.666666666669999,7.404291283560001,0.31290461804128245,0.3827219592930897,0.8543413019489025,0.3132523770070522,3833.4597352605124,0.6622199177864786,2,10,12,2012,0,7
2012-04-13,SFO,San Francisco,0.5460776929914688,0.0,JFK,New York,0.6855685441510919,0.9460042871958705,14.037037037000001,9.85854366481,0.5910420562979561,0.5618387270308834,0.7023236911624599,0.16173162479014347,5403.554833417769,0.944994785048431,2,13,4,2012,0,7
2011-11-19,SFO,San Francisco,0.5460776929914688,0.0,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,13.653846153800002,9.5621851381,0.5711961754243786,0.540209826188667,0.7003290523702546,0.1597435053306122,487.13881467586566,0.059545942659244996,2,19,11,2011,0,7
2012-04-09,LGA,New York,0.6919176200316315,0.9441805859593362,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,9.52631578947,6.68637437923,0.3574267996278938,0.33032679553962974,0.701884603344857,0.16129397209932517,2571.4703686921193,0.43493503801314476,1,9,4,2012,0,7
2012-05-29,ATL,Atlanta,0.3621887489465847,0.7387003640355518,PHL,Philadelphia,0.6501134340764001,0.9175397687680062,9.55,7.8302718915,0.3586534311616033,0.41381096635532655,0.8199237582722513,0.2789473245834183,1027.6848410103114,0.15689853679516363,2,29,5,2012,1,7
2012-09-28,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,ORD,Chicago,0.7473928633272919,0.6710189398000861,15.833333333299999,11.132689774200001,0.6840742339226311,0.654828728582144,0.7031172488983225,0.1625225888399231,3390.7244973177953,0.5824830927442406,2,28,9,2012,0,7
2012-02-12,JFK,New York,0.6855685441510919,0.9460042871958705,SFO,San Francisco,0.5460776929914688,0.0,9.894736842110001,7.99232087584,0.3765077345941762,0.4256376596945788,0.8077345566004642,0.2667979624359802,5403.554833417769,0.944994785048431,2,12,2,2012,0,7
2011-09-17,EWR,Newark,0.6880043406485579,0.9384172867013378,ATL,Atlanta,0.3621887489465847,0.7387003640355518,7.6,5.32916503779,0.2576607682352312,0.23127465557248525,0.7012059260250001,0.16061751298721783,1148.3068853131601,0.1786226238308058,2,17,9,2011,0,2
2012-06-17,SFO,San Francisco,0.5460776929914688,0.0,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,17.6176470588,13.2345157228,0.7764858209145905,0.8082246356766333,0.7512079041332237,0.2104560632452852,487.13881467586566,0.059545942659244996,2,17,6,2012,0,7
2011-12-28,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,JFK,New York,0.6855685441510919,0.9460042871958705,19.6829268293,12.8421941747,0.8834489510226734,0.7795921412573883,0.6524534834719352,0.11202441426769227,4955.860857969598,0.8643648890440983,2,28,12,2011,2,7
2011-10-09,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,DEN,Denver,0.6496383639449108,0.34459434731456895,13.3076923077,8.92533128021,0.5532684837834325,0.4937308228807422,0.6706896337726181,0.13020096102964485,1544.881662246641,0.2500459280869736,2,9,10,2011,0,0
2012-12-01,ATL,Atlanta,0.3621887489465847,0.7387003640355518,MCO,Orlando,0.12172951756461914,0.799418501658604,13.1363636364,12.0881502565,0.5443951818602407,0.7245603481165641,0.920205209834823,0.3789010134722025,353.95533631165074,0.03555953542816277,2,1,12,2012,2,0
2012-12-21,DTW,Detroit,0.7581909654479757,0.7596208255651364,ATL,Atlanta,0.3621887489465847,0.7387003640355518,12.038461538499998,8.03233848505,0.4875336144246656,0.42855823333608767,0.6672230051457917,0.12674566282783772,156.51256917638386,0.0,2,21,12,2012,2,0
2012-06-13,PHL,Philadelphia,0.6501134340764001,0.9175397687680062,MCO,Orlando,0.12172951756461914,0.799418501658604,15.357142857100001,11.205865810899999,0.659411800973085,0.6601692776103129,0.7296842853629665,0.18900279286675747,719.5833211080045,0.10140930783327907,2,13,6,2012,0,0
2012-07-15,PHL,Philadelphia,0.6501134340764001,0.9175397687680062,MCO,Orlando,0.12172951756461914,0.799418501658604,14.482758620699999,9.50045370967,0.6141264715090446,0.5357045299882057,0.6559837085243648,0.11554310103478371,719.5833211080045,0.10140930783327907,2,15,7,2012,1,0
