DateOfDeparture,Departure,CityDeparture,LongitudeDeparture,LatitudeDeparture,Arrival,CityArrival,LongitudeArrival,LatitudeArrival,WeeksToDeparture,std_wtd,Distance
2012-10-21,DFW,Dallas-Fort Worth,32.896828,-97.037997,SFO,San Francisco,37.618972,-122.374889,14.6,11.575836902799999,2821.5329251956728
2012-09-13,LAX,Los Angeles,33.942536,-118.408075,ATL,Atlanta,33.636719,-84.428067,14.7307692308,13.3643037748,3779.583120066245
2012-09-04,ORD,Chicago,41.978603,-87.904842,IAH,Houston,29.984433000000003,-95.341442,8.470588235289998,5.88555060146,823.5052672605634
2012-08-13,DEN,Denver,39.861655999999996,-104.67317800000001,PHX,Phoenix,33.434278000000006,-112.011583,8.2,6.292853089019999,845.501645814704
2012-09-10,ORD,Chicago,41.978603,-87.904842,SEA,Seattle,47.449,-122.309306,12.090909090899999,9.13866245767,3825.7988929494127
2011-11-11,MCO,Orlando,28.429394,-81.308994,PHL,Philadelphia,39.871944,-75.241139,14.862068965499999,9.807883629039999,719.5833211080045
2012-11-15,IAH,Houston,29.984433000000003,-95.341442,ORD,Chicago,41.978603,-87.904842,7.176470588239999,5.1506710014,823.5052672605634
2013-03-02,MIA,Miami,25.79325,-80.29055600000001,JFK,New York,40.639751000000004,-73.778925,17.4193548387,12.8498357799,807.8739736741641
2013-03-04,ATL,Atlanta,33.636719,-84.428067,DTW,Detroit,42.212444,-83.353389,11.777777777799999,10.8928230855,156.51256917638386
2012-01-05,LGA,New York,40.777245,-73.872608,ORD,Chicago,41.978603,-87.904842,14.36,10.9729971597,1560.8617188022472
2012-07-06,MIA,Miami,25.79325,-80.29055600000001,JFK,New York,40.639751000000004,-73.778925,14.448275862100001,9.3678256621,807.8739736741641
2012-02-05,SEA,Seattle,47.449,-122.309306,ORD,Chicago,41.978603,-87.904842,9.11764705882,7.210082809349999,3825.7988929494127
2012-09-13,PHX,Phoenix,33.434278000000006,-112.011583,ORD,Chicago,41.978603,-87.904842,9.70588235294,8.96357006082,2679.014872379074
2012-01-01,DFW,Dallas-Fort Worth,32.896828,-97.037997,PHL,Philadelphia,39.871944,-75.241139,9.105263157889999,5.801290439219999,2420.4928123669188
2012-06-15,DEN,Denver,39.861655999999996,-104.67317800000001,SEA,Seattle,47.449,-122.309306,12.68,9.017205775630002,1986.4462899651512
2012-01-21,CLT,Charlotte,35.214,-80.943139,ATL,Atlanta,33.636719,-84.428067,8.125,6.04290217252,388.234640924886
2013-02-07,DEN,Denver,39.861655999999996,-104.67317800000001,MSP,Minneapolis,44.881956,-93.221767,6.57142857143,4.30945803686,1275.4904022040619
2012-06-16,DTW,Detroit,42.212444,-83.353389,ATL,Atlanta,33.636719,-84.428067,11.05,10.0915545722,156.51256917638386
2012-12-25,ATL,Atlanta,33.636719,-84.428067,CLT,Charlotte,35.214,-80.943139,7.64705882353,5.89428935995,388.234640924886
2012-11-02,LAX,Los Angeles,33.942536,-118.408075,ATL,Atlanta,33.636719,-84.428067,15.2068965517,12.1107370023,3779.583120066245
2011-12-26,LAS,Las Vegas,36.080056,-115.15225,SFO,San Francisco,37.618972,-122.374889,10.1904761905,6.53160812985,807.5231832777396
2012-07-01,LGA,New York,40.777245,-73.872608,BOS,Boston,42.364346999999995,-71.00518100000001,7.333333333330001,8.44590630621,323.3318296838956
2011-10-20,ATL,Atlanta,33.636719,-84.428067,MIA,Miami,25.79325,-80.29055600000001,11.619047619000002,8.69756397203,473.55355045901877
2012-10-15,EWR,Newark,40.6925,-74.168667,ORD,Chicago,41.978603,-87.904842,7.8125,5.25634537171,1527.9398870021992
2012-03-19,ATL,Atlanta,33.636719,-84.428067,CLT,Charlotte,35.214,-80.943139,10.1578947368,8.48700416909,388.234640924886
2012-11-08,MSP,Minneapolis,44.881956,-93.221767,DEN,Denver,39.861655999999996,-104.67317800000001,8.055555555560002,6.178446618230001,1275.4904022040619
2012-02-05,LAS,Las Vegas,36.080056,-115.15225,LAX,Los Angeles,33.942536,-118.408075,14.433333333299998,10.3413576556,377.6032638053681
2012-09-09,ORD,Chicago,41.978603,-87.904842,LAS,Las Vegas,36.080056,-115.15225,14.153846153800002,10.4830999526,3029.579253321205
2012-04-23,LAS,Las Vegas,36.080056,-115.15225,JFK,New York,40.639751000000004,-73.778925,13.461538461500002,9.356199096769998,4598.323701126353
2012-02-13,ORD,Chicago,41.978603,-87.904842,MSP,Minneapolis,44.881956,-93.221767,9.833333333330001,7.229433302989999,591.2192684676628
2012-10-21,ATL,Atlanta,33.636719,-84.428067,PHL,Philadelphia,39.871944,-75.241139,10.7727272727,8.624062782380001,1027.6848410103114
2012-04-23,BOS,Boston,42.364346999999995,-71.00518100000001,EWR,Newark,40.6925,-74.168667,9.529411764710002,7.80318562398,356.2123684197035
2012-02-05,DTW,Detroit,42.212444,-83.353389,LGA,New York,40.777245,-73.872608,6.3571428571399995,5.32926813935,1054.935853740084
2012-03-01,EWR,Newark,40.6925,-74.168667,ORD,Chicago,41.978603,-87.904842,10.5263157895,10.7464124301,1527.9398870021992
