DateOfDeparture,Departure,CityDeparture,LongitudeDeparture,LatitudeDeparture,Arrival,CityArrival,LongitudeArrival,LatitudeArrival,WeeksToDeparture,std_wtd,Distance,PAX
2011-10-09,LAX,Los Angeles,33.942536,-118.408075,DEN,Denver,39.861656,-104.673178,13.3076923077,8.92533128021,1544.8816622466409,0
2012-12-01,ATL,Atlanta,33.636719,-84.428067,MCO,Orlando,28.429394,-81.308994,13.1363636364,12.0881502565,353.9553363116508,0
2012-12-21,DTW,Detroit,42.212444,-83.353389,ATL,Atlanta,33.636719,-84.428067,12.038461538499998,8.03233848505,156.51256917638386,0
2012-06-13,PHL,Philadelphia,39.871944,-75.241139,MCO,Orlando,28.429394,-81.308994,15.357142857100001,11.205865810899999,719.5833211080045,0
2012-07-15,PHL,Philadelphia,39.871944,-75.241139,MCO,Orlando,28.429394,-81.308994,14.482758620699999,9.50045370967,719.5833211080045,0
2012-02-05,SFO,San Francisco,37.618972,-122.374889,BOS,Boston,42.364347,-71.00518100000002,8.833333333330001,5.863646727180001,5708.968886670745,0
2012-12-26,ATL,Atlanta,33.636719,-84.428067,DFW,Dallas-Fort Worth,32.896828,-97.037997,9.21052631579,5.98682764602,1402.5714537480035,0
2012-11-10,LAS,Las Vegas,36.080056,-115.15225,JFK,New York,40.639751,-73.778925,14.275862069,10.905098911300001,4598.323701126353,0
2013-02-08,DEN,Denver,39.861656,-104.673178,LAS,Las Vegas,36.080056,-115.15225,10.0952380952,6.36321272554,1173.7708183524433,0
2012-06-19,ORD,Chicago,41.978603,-87.904842,PHX,Phoenix,33.434278000000006,-112.011583,11.7727272727,8.970490341649999,2679.014872379074,0
2013-01-05,MIA,Miami,25.79325,-80.29055600000002,LGA,New York,40.777245,-73.872608,17.606060606099998,11.597250196500001,799.5642198340214,0
2013-01-31,ATL,Atlanta,33.636719,-84.428067,SFO,San Francisco,37.618972,-122.374889,6.307692307690001,4.44193305114,4219.517597667142,0
2012-01-08,DEN,Denver,39.861656,-104.673178,LAS,Las Vegas,36.080056,-115.15225,11.2631578947,10.2080692769,1173.7708183524433,0
2012-09-19,EWR,Newark,40.6925,-74.168667,MCO,Orlando,28.429394,-81.308994,11.0476190476,8.32151542975,841.0684679543131,0
2012-12-18,DEN,Denver,39.861656,-104.673178,ATL,Atlanta,33.636719,-84.428067,9.27777777778,6.80661923127,2249.1880633960927,0
2011-09-02,DFW,Dallas-Fort Worth,32.896828,-97.037997,LAS,Las Vegas,36.080056,-115.15225,11.625,7.305819598099999,2016.491722110575,0
2012-04-01,DFW,Dallas-Fort Worth,32.896828,-97.037997,SFO,San Francisco,37.618972,-122.374889,10.7,7.74664613338,2821.532925195673,0
2012-02-13,MSP,Minneapolis,44.881956,-93.221767,DEN,Denver,39.861656,-104.673178,12.7,11.1076076348,1275.490402204062,0
2012-10-11,JFK,New York,40.639751,-73.778925,MCO,Orlando,28.429394,-81.308994,15.275862069,10.2779116546,882.7930713454393,0
2012-06-08,DTW,Detroit,42.212444,-83.353389,LGA,New York,40.777245,-73.872608,9.89473684211,7.00709748788,1054.935853740084,0
2011-12-18,SFO,San Francisco,37.618972,-122.374889,SEA,Seattle,47.449,-122.309306,10.833333333299999,7.37602854533,584.4685506498538,0
2012-04-18,ATL,Atlanta,33.636719,-84.428067,MIA,Miami,25.79325,-80.29055600000002,7.0,4.472135955,473.55355045901877,0
2013-03-01,DFW,Dallas-Fort Worth,32.896828,-97.037997,SFO,San Francisco,37.618972,-122.374889,6.92857142857,4.8272350059,2821.532925195673,0
2012-02-15,ATL,Atlanta,33.636719,-84.428067,DTW,Detroit,42.212444,-83.353389,8.46153846154,7.698651230519999,156.51256917638386,0
2012-10-25,EWR,Newark,40.6925,-74.168667,LAX,Los Angeles,33.942536,-118.408075,13.84,10.0775327668,4912.518671454262,0
2012-05-27,ATL,Atlanta,33.636719,-84.428067,PHL,Philadelphia,39.871944,-75.241139,9.65,6.17529031919,1027.6848410103114,0
2012-07-05,MCO,Orlando,28.429394,-81.308994,ATL,Atlanta,33.636719,-84.428067,12.583333333299999,8.98267253088,353.9553363116508,0
2012-03-05,IAH,Houston,29.984433000000006,-95.341442,LAX,Los Angeles,33.942536,-118.408075,11.2105263158,11.5690148787,2567.415454370589,0
2012-07-29,JFK,New York,40.639751,-73.778925,MCO,Orlando,28.429394,-81.308994,15.8125,11.5491586064,882.7930713454393,0
2011-10-04,LAS,Las Vegas,36.080056,-115.15225,SFO,San Francisco,37.618972,-122.374889,14.2142857143,9.255057247589999,807.5231832777396,0
2012-11-06,ORD,Chicago,41.978603,-87.904842,SEA,Seattle,47.449,-122.309306,11.0,8.70571500132,3825.7988929494127,0
2013-02-11,DEN,Denver,39.861656,-104.673178,ATL,Atlanta,33.636719,-84.428067,9.3,7.42754475265,2249.1880633960927,0
2012-08-14,SFO,San Francisco,37.618972,-122.374889,EWR,Newark,40.6925,-74.168667,17.1290322581,11.735251553900001,5360.173660023075,0
2012-02-19,LAS,Las Vegas,36.080056,-115.15225,ORD,Chicago,41.978603,-87.904842,11.6363636364,8.3011499751,3029.5792533212048,0
2012-10-22,MIA,Miami,25.79325,-80.29055600000002,JFK,New York,40.639751,-73.778925,12.84,10.2983817499,807.8739736741642,0
2012-10-17,DEN,Denver,39.861656,-104.673178,SEA,Seattle,47.449,-122.309306,10.857142857100001,8.02674102165,1986.4462899651514,0
2012-05-13,SFO,San Francisco,37.618972,-122.374889,ATL,Atlanta,33.636719,-84.428067,10.380952381,9.14043866823,4219.517597667142,0
2011-10-19,DEN,Denver,39.861656,-104.673178,LAS,Las Vegas,36.080056,-115.15225,12.8076923077,8.12905520104,1173.7708183524433,0
2011-09-17,BOS,Boston,42.364347,-71.00518100000002,SFO,San Francisco,37.618972,-122.374889,13.0769230769,8.4802031906,5708.968886670745,0
2012-08-26,EWR,Newark,40.6925,-74.168667,LAX,Los Angeles,33.942536,-118.408075,15.592592592599999,10.0546937346,4912.518671454262,0
2012-07-11,DEN,Denver,39.861656,-104.673178,SEA,Seattle,47.449,-122.309306,14.517241379300001,9.31059569084,1986.4462899651514,0
2012-07-25,DFW,Dallas-Fort Worth,32.896828,-97.037997,LAS,Las Vegas,36.080056,-115.15225,12.64,8.40575199888,2016.491722110575,0
2012-08-02,DEN,Denver,39.861656,-104.673178,SEA,Seattle,47.449,-122.309306,14.0,8.99382504215,1986.4462899651514,0
2012-02-18,JFK,New York,40.639751,-73.778925,LAS,Las Vegas,36.080056,-115.15225,12.038461538499998,8.45922345954,4598.323701126353,0
2012-12-17,PHL,Philadelphia,39.871944,-75.241139,DFW,Dallas-Fort Worth,32.896828,-97.037997,7.13333333333,4.718756898450001,2420.4928123669188,0
2013-01-08,MSP,Minneapolis,44.881956,-93.221767,ATL,Atlanta,33.636719,-84.428067,10.35,10.1529098759,973.7448004122535,0
2011-12-09,EWR,Newark,40.6925,-74.168667,MCO,Orlando,28.429394,-81.308994,15.4642857143,11.003306381400002,841.0684679543131,0
2013-02-12,LGA,New York,40.777245,-73.872608,DTW,Detroit,42.212444,-83.353389,6.692307692309999,4.98973304871,1054.935853740084,0
2012-01-24,DFW,Dallas-Fort Worth,32.896828,-97.037997,PHL,Philadelphia,39.871944,-75.241139,7.625,4.96487663492,2420.4928123669188,0
2012-02-19,PHL,Philadelphia,39.871944,-75.241139,MCO,Orlando,28.429394,-81.308994,13.0,9.26892892832,719.5833211080045,0
2012-06-01,JFK,New York,40.639751,-73.778925,MIA,Miami,25.79325,-80.29055600000002,13.9259259259,9.44590235102,807.8739736741642,0
2013-02-05,DFW,Dallas-Fort Worth,32.896828,-97.037997,SFO,San Francisco,37.618972,-122.374889,8.6,7.84492556643,2821.532925195673,0
2011-09-08,ATL,Atlanta,33.636719,-84.428067,CLT,Charlotte,35.214,-80.943139,6.06666666667,4.3665394383499985,388.23464092488604,0
2013-01-25,DEN,Denver,39.861656,-104.673178,ATL,Atlanta,33.636719,-84.428067,7.06666666667,4.589843860819999,2249.1880633960927,0
2012-07-29,ATL,Atlanta,33.636719,-84.428067,MSP,Minneapolis,44.881956,-93.221767,10.958333333299999,7.69799051513,973.7448004122535,0
2011-09-11,ATL,Atlanta,33.636719,-84.428067,MSP,Minneapolis,44.881956,-93.221767,10.6956521739,7.725017108589999,973.7448004122535,0
2012-07-23,LAS,Las Vegas,36.080056,-115.15225,ORD,Chicago,41.978603,-87.904842,14.038461538499998,10.0099181584,3029.5792533212048,0
2012-12-02,DEN,Denver,39.861656,-104.673178,LAS,Las Vegas,36.080056,-115.15225,13.3214285714,9.45184117446,1173.7708183524433,0
2012-01-03,DEN,Denver,39.861656,-104.673178,MSP,Minneapolis,44.881956,-93.221767,10.8636363636,6.96450493605,1275.490402204062,0
2012-04-08,SFO,San Francisco,37.618972,-122.374889,LAS,Las Vegas,36.080056,-115.15225,12.0,9.30437685025,807.5231832777396,0
2012-08-15,ORD,Chicago,41.978603,-87.904842,IAH,Houston,29.984433000000006,-95.341442,9.38888888889,6.74875926626,823.5052672605633,0
2012-03-20,ATL,Atlanta,33.636719,-84.428067,DEN,Denver,39.861656,-104.673178,8.1875,5.64763962495,2249.1880633960927,0
2011-12-30,DEN,Denver,39.861656,-104.673178,LAX,Los Angeles,33.942536,-118.408075,13.3448275862,9.00902667197,1544.8816622466409,0
2012-09-03,SFO,San Francisco,37.618972,-122.374889,DFW,Dallas-Fort Worth,32.896828,-97.037997,14.5333333333,10.5265946727,2821.532925195673,0
