DateOfDeparture,Departure,CityDeparture,Arrival,CityArrival,WeeksToDeparture,std_wtd,Distance,CV,x-std,x+std,variance,PAX
2011-10-09,LAX,Los Angeles,DEN,Denver,13.3076923077,8.92533128021,1544.8816622466409,67.06896337726181,-4.542970252720002,31.15835486812,79.6615384614951,0
2012-12-01,ATL,Atlanta,MCO,Orlando,13.1363636364,12.0881502565,353.9553363116508,92.0205209834823,-11.0399368766,37.3126641494,146.12337662372101,0
2012-12-21,DTW,Detroit,ATL,Atlanta,12.038461538499998,8.03233848505,156.51256917638386,66.72230051457917,-4.026215431600001,28.103138508599997,64.51846153841532,0
2012-06-13,PHL,Philadelphia,MCO,Orlando,15.357142857100001,11.205865810899999,719.5833211080045,72.96842853629664,-7.0545887646999965,37.7688744789,125.57142857189748,0
2012-07-15,PHL,Philadelphia,MCO,Orlando,14.482758620699999,9.50045370967,719.5833211080045,65.59837085243649,-4.51814879864,33.48366604004,90.25862068958246,0
2012-02-05,SFO,San Francisco,BOS,Boston,8.833333333330001,5.863646727180001,5708.968886670745,66.38090634545901,-2.89396012103,20.560626787690005,34.38235294116873,0
2012-12-26,ATL,Atlanta,DFW,Dallas-Fort Worth,9.21052631579,5.98682764602,1402.5714537480035,64.99984301392772,-2.76312897625,21.18418160783,35.84210526314938,0
2012-11-10,LAS,Las Vegas,JFK,New York,14.275862069,10.905098911300001,4598.323701126353,76.38837401616814,-7.534335753600002,36.0860598916,118.92118226523648,0
2013-02-08,DEN,Denver,LAS,Las Vegas,10.0952380952,6.36321272554,1173.7708183524433,63.03182416832277,-2.6311873558800016,22.82166354628,40.4904761904742,0
2012-06-19,ORD,Chicago,PHX,Phoenix,11.7727272727,8.970490341649999,2679.014872379074,76.1972152574352,-6.168253410599998,29.713707955999997,80.46969696963592,0
2013-01-05,MIA,Miami,LGA,New York,17.606060606099998,11.597250196500001,799.5642198340214,65.87078424847569,-5.588439786900004,40.8005609991,134.4962121202193,0
2013-01-31,ATL,Atlanta,SFO,San Francisco,6.307692307690001,4.44193305114,4219.517597667142,70.42088983517209,-2.57617379459,15.191558409970002,19.730769230809912,0
2012-01-08,DEN,Denver,LAS,Las Vegas,11.2631578947,10.2080692769,1173.7708183524433,90.6323907765114,-9.152980659099999,31.6792964485,104.20467836198969,0
2012-09-19,EWR,Newark,MCO,Orlando,11.0476190476,8.32151542975,841.0684679543131,75.3240620797635,-5.595411811900002,27.690649907100003,69.24761904756734,0
2012-12-18,DEN,Denver,ATL,Atlanta,9.27777777778,6.80661923127,2249.1880633960927,73.36475818133572,-4.335460684759999,22.89101624032,46.330065359494604,0
2011-09-02,DFW,Dallas-Fort Worth,LAS,Las Vegas,11.625,7.305819598099999,2016.491722110575,62.84575998365591,-2.9866391961999987,26.2366391962,53.37499999998204,0
2012-04-01,DFW,Dallas-Fort Worth,SFO,San Francisco,10.7,7.74664613338,2821.532925195673,72.39856199420561,-4.79329226676,26.193292266759997,60.0105263158113,0
2012-02-13,MSP,Minneapolis,DEN,Denver,12.7,11.1076076348,1275.490402204062,87.4614774393701,-9.515215269600002,34.9152152696,123.37894736866727,0
2012-10-11,JFK,New York,MCO,Orlando,15.275862069,10.2779116546,882.7930713454393,67.28204017668786,-5.2799612402000005,35.8316853782,105.63546797976252,0
2012-06-08,DTW,Detroit,LGA,New York,9.89473684211,7.00709748788,1054.935853740084,70.81641078173206,-4.119458133650001,23.90893181787,49.099415204654214,0
2011-12-18,SFO,San Francisco,SEA,Seattle,10.833333333299999,7.37602854533,584.4685506498538,68.0864173417172,-3.9187237573600004,25.58539042396,54.40579710152299,0
2012-04-18,ATL,Atlanta,MIA,Miami,7.0,4.472135955,473.55355045901877,63.8876565,-1.9442719099999994,15.94427191,20.00000000000376,0
2013-03-01,DFW,Dallas-Fort Worth,SFO,San Francisco,6.92857142857,4.8272350059,2821.532925195673,69.67143307485973,-2.725898583230001,16.58304144037,23.302197802186377,0
2012-02-15,ATL,Atlanta,DTW,Detroit,8.46153846154,7.698651230519999,156.51256917638386,90.98405999703797,-6.935763999499997,23.858840922579997,59.26923076918709,0
2012-10-25,EWR,Newark,LAX,Los Angeles,13.84,10.0775327668,4912.518671454262,72.81454311271676,-6.315065533599999,33.9950655336,101.55666666592765,0
2012-05-27,ATL,Atlanta,PHL,Philadelphia,9.65,6.17529031919,1027.6848410103114,63.99264579471503,-2.70058063838,22.00058063838,38.134210526281734,0
2012-07-05,MCO,Orlando,ATL,Atlanta,12.583333333299999,8.98267253088,353.9553363116508,71.38547706678514,-5.382011728460002,30.54867839506,80.6884057970261,0
2012-03-05,IAH,Houston,LAX,Los Angeles,11.2105263158,11.5690148787,2567.415454370589,103.19778530286085,-11.927503441599999,34.3485560732,133.84210526358194,0
2012-07-29,JFK,New York,MCO,Orlando,15.8125,11.5491586064,882.7930713454393,73.0381571946245,-7.285817212800001,38.9108172128,133.38306451578322,0
2011-10-04,LAS,Las Vegas,SFO,San Francisco,14.2142857143,9.255057247589999,807.5231832777396,65.11095551061797,-4.295828780879997,32.724400209479995,85.65608465616818,0
2012-11-06,ORD,Chicago,SEA,Seattle,11.0,8.70571500132,3825.7988929494127,79.14286364836364,-6.4114300026399995,28.41143000264,75.78947368420809,0
2013-02-11,DEN,Denver,ATL,Atlanta,9.3,7.42754475265,2249.1880633960927,79.86607260913978,-5.5550895053,24.1550895053,55.168421052618555,0
2012-08-14,SFO,San Francisco,EWR,Newark,17.1290322581,11.735251553900001,5360.173660023075,68.51088477780534,-6.341470849700002,40.5995353659,137.7161290333124,0
2012-02-19,LAS,Las Vegas,ORD,Chicago,11.6363636364,8.3011499751,3029.5792533212048,71.33800759829269,-4.965936313799999,28.238663586599998,68.90909090910272,0
2012-10-22,MIA,Miami,JFK,New York,12.84,10.2983817499,807.8739736741642,80.20546534190032,-7.756763499800002,33.4367634998,106.05666666667341,0
2012-10-17,DEN,Denver,SEA,Seattle,10.857142857100001,8.02674102165,1986.4462899651514,73.93050941022604,-5.1963391861999995,26.910624900400002,64.42857142863889,0
2012-05-13,SFO,San Francisco,ATL,Atlanta,10.380952381,9.14043866823,4219.517597667142,88.05009726236216,-7.899924955460001,28.66182971746,83.54761904767423,0
2011-10-19,DEN,Denver,LAS,Las Vegas,12.8076923077,8.12905520104,1173.7708183524433,63.47010066874266,-3.45041809438,29.06580270978,66.08153846155547,0
2011-09-17,BOS,Boston,SFO,San Francisco,13.0769230769,8.4802031906,5708.968886670745,64.84861263411443,-3.8834833042999986,30.037329458099997,71.91384615386241,0
2012-08-26,EWR,Newark,LAX,Los Angeles,15.592592592599999,10.0546937346,4912.518671454262,64.48378404609764,-4.516794876600002,35.7019800618,101.09686609660451,0
2012-07-11,DEN,Denver,SEA,Seattle,14.517241379300001,9.31059569084,1986.4462899651514,64.13474466378915,-4.103950002379998,33.13843276098,86.68719211828837,0
2012-07-25,DFW,Dallas-Fort Worth,LAS,Las Vegas,12.64,8.40575199888,2016.491722110575,66.50120252278481,-4.171503997759999,29.45150399776,70.65666666667511,0
2012-08-02,DEN,Denver,SEA,Seattle,14.0,8.99382504215,1986.4462899651514,64.24160744392857,-3.9876500843000002,31.9876500843,80.88888888880444,0
2012-02-18,JFK,New York,LAS,Las Vegas,12.038461538499998,8.45922345954,4598.323701126353,70.26830988732823,-4.879985380580003,28.95690845758,71.5584615384319,0
2012-12-17,PHL,Philadelphia,DFW,Dallas-Fort Worth,7.13333333333,4.718756898450001,2420.4928123669188,66.15079764185334,-2.3041804635700007,16.57084713023,22.26666666666947,0
2013-01-08,MSP,Minneapolis,ATL,Atlanta,10.35,10.1529098759,973.7448004122535,98.09574759323672,-9.955819751800002,30.655819751800003,103.08157894814777,0
2011-12-09,EWR,Newark,MCO,Orlando,15.4642857143,11.003306381400002,841.0684679543131,71.15302048011904,-6.5423270485000025,37.47089847710001,121.072751322958,0
2013-02-12,LGA,New York,DTW,Detroit,6.692307692309999,4.98973304871,1054.935853740084,74.55922946345706,-3.2871584051100005,16.671773789729997,24.89743589738879,0
2012-01-24,DFW,Dallas-Fort Worth,PHL,Philadelphia,7.625,4.96487663492,2420.4928123669188,65.11313619567214,-2.304753269840001,17.55475326984,24.649999999974547,0
2012-02-19,PHL,Philadelphia,MCO,Orlando,13.0,9.26892892832,719.5833211080045,71.29945329476922,-5.537857856639999,31.53785785664,85.91304347824733,0
2012-06-01,JFK,New York,MIA,Miami,13.9259259259,9.44590235102,807.8739736741642,67.82961794628054,-4.965878776140002,32.81773062794,89.22507122500518,0
2013-02-05,DFW,Dallas-Fort Worth,SFO,San Francisco,8.6,7.84492556643,2821.532925195673,91.22006472593023,-7.08985113286,24.28985113286,61.54285714282705,0
2011-09-08,ATL,Atlanta,CLT,Charlotte,6.06666666667,4.3665394383499985,388.23464092488604,71.97592480792746,-2.666412210029997,14.799745543369998,19.06666666666592,0
2013-01-25,DEN,Denver,ATL,Atlanta,7.06666666667,4.589843860819999,2249.1880633960927,64.95062067195049,-2.113021054969999,16.24635438831,21.06666666670704,0
2012-07-29,ATL,Atlanta,MSP,Minneapolis,10.958333333299999,7.69799051513,973.7448004122535,70.24782219151406,-4.437647696960001,26.35431436356,59.25905797103144,0
2011-09-11,ATL,Atlanta,MSP,Minneapolis,10.6956521739,7.725017108589999,973.7448004122535,72.22576971454741,-4.754382043279998,26.145686391079998,59.67588932800818,0
2012-07-23,LAS,Las Vegas,ORD,Chicago,14.038461538499998,10.0099181584,3029.5792533212048,71.30352660758548,-5.981374778300001,34.0582978553,100.19846153786604,0
2012-12-02,DEN,Denver,LAS,Las Vegas,13.3214285714,9.45184117446,1173.7708183524433,70.95215895052215,-5.58225377752,32.22511092032,89.3373015872174,0
2012-01-03,DEN,Denver,MSP,Minneapolis,10.8636363636,6.96450493605,1275.490402204062,64.10841363749492,-3.0653735085000005,24.792646235699998,48.50432900426481,0
2012-04-08,SFO,San Francisco,LAS,Las Vegas,12.0,9.30437685025,807.5231832777396,77.53647375208334,-6.608753700499999,30.6087537005,86.5714285714681,0
2012-08-15,ORD,Chicago,IAH,Houston,9.38888888889,6.74875926626,823.5052672605633,71.88027620867788,-4.10862964363,22.88640742141,45.54575163393021,0
2012-03-20,ATL,Atlanta,DEN,Denver,8.1875,5.64763962495,2249.1880633960927,68.97880457954199,-3.1077792499,19.4827792499,31.895833333305376,0
2011-12-30,DEN,Denver,LAX,Los Angeles,13.3448275862,9.00902667197,1544.8816622466409,67.50950219309175,-4.673225757740001,31.36288093014,81.16256157626685,0
2012-09-03,SFO,San Francisco,DFW,Dallas-Fort Worth,14.5333333333,10.5265946727,2821.532925195673,72.43069728938632,-6.5198560121,35.5865226787,110.80919540331602,0
2011-10-12,SFO,San Francisco,ATL,Atlanta,11.142857142899999,7.869470848069999,4219.517597667142,70.6234563285617,-4.596084553239999,26.881798839039995,61.92857142862355,0
2011-11-05,EWR,Newark,ORD,Chicago,9.16666666667,6.5282192869700015,1527.9398870021994,71.21693767601049,-3.8897719072700028,22.223105240610003,42.61764705876711,0
2013-02-09,LGA,New York,ORD,Chicago,10.5,12.653670796099998,1560.8617188022474,120.51115043904761,-14.807341592199997,35.8073415922,160.11538461607395,0
2012-07-22,DTW,Detroit,LGA,New York,10.6,8.08767743643,1054.935853740084,76.29884373990568,-5.575354872860002,26.77535487286,65.41052631573895,0
2012-06-06,MCO,Orlando,EWR,Newark,11.1904761905,8.20742985117,841.0684679543131,73.34299015923543,-5.224383511839999,27.60533589284,67.3619047618764,0
2012-02-29,EWR,Newark,SFO,San Francisco,9.27777777778,6.658082708969999,5360.173660023075,71.76376572540795,-4.038387640159998,22.59394319572,44.33006535948529,0
2013-01-10,LGA,New York,DTW,Detroit,9.52631578947,8.32244903227,1054.935853740084,87.3627246481719,-7.1185822750700005,26.171213854010002,69.26315789473188,0
