DateOfDeparture,Departure,CityDeparture,LongitudeDeparture,LatitudeDeparture,Arrival,CityArrival,LongitudeArrival,LatitudeArrival,WeeksToDeparture,std_wtd,Norm mean,Norm std,Norm std(MAX),Norm mean(MAX),CV,CV of norm,Norm CV(MAX),Distance,Norm Distance,Norm Distance(MAX),Airports,Day,Month,Year,IsHolidays
2012-10-21,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,SFO,San Francisco,0.5460776929914688,0.0,14.6,11.575836902799999,0.146,0.11575836902799999,0.33266910312535475,0.3606115573986137,0.7928655412876712,0.07928655412876712,0.36839589060891353,2821.5329251956728,0.2821532925195673,0.49422811390396004,2,21,10,2012,0
2012-09-13,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,ATL,Atlanta,0.3621887489465847,0.7387003640355518,14.7307692308,13.3643037748,0.147307692308,0.133643037748,0.5871063604092123,0.44989566427215405,0.9072373319688621,0.09072373319688622,0.5211310244530839,3779.583120066245,0.3779583120066245,0.662043040537633,2,13,9,2012,0
2012-09-04,ORD,Chicago,0.7473928633272919,0.6710189398000861,IAH,Houston,0.1935367281207072,0.5262526896201161,8.470588235289998,5.88555060146,0.08470588235289998,0.058855506014600004,0.4189337952781873,0.3993392070488451,0.6948219460060324,0.06948219460060324,0.4189337952781873,823.5052672605634,0.08235052672605635,0.14424763623835418,2,4,9,2012,1
2012-08-13,DEN,Denver,0.6496383639449108,0.34459434731456895,PHX,Phoenix,0.3528406081525697,0.20173963223618063,8.2,6.292853089019999,0.08199999999999999,0.0629285308902,0.43463440572742756,0.3741556534513141,0.7674211084170731,0.07674211084170732,0.46388864457428763,845.501645814704,0.0845501645814704,0.14810058744386828,2,13,8,2012,0
2012-09-10,ORD,Chicago,0.7473928633272919,0.6710189398000861,SEA,Seattle,1.0000000000000002,0.0012766862525279699,12.090909090899999,9.13866245767,0.12090909090899998,0.09138662457669999,0.5786998516125933,0.6060042421265786,0.7558292258228992,0.07558292258228992,0.3813464061757955,3825.7988929494127,0.38257988929494124,0.6701383330152416,2,10,9,2012,0
2011-11-11,MCO,Orlando,0.12172951756461914,0.799418501658604,PHL,Philadelphia,0.6501134340764001,0.9175397687680062,14.862068965499999,9.807883629039999,0.148620689655,0.09807883629039998,0.5613035057361347,0.589461199591937,0.6599272047389558,0.06599272047389558,0.3802633609295682,719.5833211080045,0.07195833211080045,0.12604435851596282,2,11,11,2011,0
2012-11-15,IAH,Houston,0.1935367281207072,0.5262526896201161,ORD,Chicago,0.7473928633272919,0.6710189398000861,7.176470588239999,5.1506710014,0.07176470588239998,0.051506710014,0.39249244032853,0.41126825875284795,0.7177164510142836,0.07177164510142836,0.38110799109262883,823.5052672605634,0.08235052672605635,0.14424763623835418,2,15,11,2012,0
2013-03-02,MIA,Miami,0.0,0.8192441545511606,JFK,New York,0.6855685441510919,0.9460042871958705,17.4193548387,12.8498357799,0.174193548387,0.12849835779899998,0.45963961166719053,0.412290748899078,0.7376757577354098,0.07376757577354098,0.4452006709865458,807.8739736741641,0.0807873973674164,0.1415096122804911,2,2,3,2013,0
2013-03-04,ATL,Atlanta,0.3621887489465847,0.7387003640355518,DTW,Detroit,0.7581909654479757,0.7596208255651364,11.777777777799999,10.8928230855,0.11777777777799998,0.108928230855,0.6534926597094641,0.6835535976497372,0.9248623374463683,0.09248623374463683,0.38177729067317495,156.51256917638386,0.015651256917638388,0.027415207944434267,2,4,3,2013,0
2012-01-05,LGA,New York,0.6919176200316315,0.9441805859593362,ORD,Chicago,0.7473928633272919,0.6710189398000861,14.36,10.9729971597,0.1436,0.109729971597,0.469151941924069,0.42717366102542725,0.7641362924582173,0.07641362924582173,0.43858220102721085,1560.8617188022472,0.15608617188022472,0.2734051892359292,1,5,1,2012,2
2012-07-06,MIA,Miami,0.0,0.8192441545511606,JFK,New York,0.6855685441510919,0.9460042871958705,14.448275862100001,9.3678256621,0.14448275862100002,0.09367825662099999,0.3128237923818669,0.3281057268725647,0.6483697952274855,0.06483697952274856,0.38073948414898284,807.8739736741641,0.0807873973674164,0.1415096122804911,2,6,7,2012,1
2012-02-05,SEA,Seattle,1.0000000000000002,0.0012766862525279699,ORD,Chicago,0.7473928633272919,0.6710189398000861,9.11764705882,7.210082809349999,0.0911764705882,0.07210082809349999,0.7768705546527087,0.7605856439489309,0.7907832758644996,0.07907832758644996,0.4078894648390705,3825.7988929494127,0.38257988929494124,0.6701383330152416,2,5,2,2012,0
2012-09-13,PHX,Phoenix,0.3528406081525697,0.20173963223618063,ORD,Chicago,0.7473928633272919,0.6710189398000861,9.70588235294,8.96357006082,0.0970588235294,0.0896357006082,0.753841146923827,0.8497475018824976,0.9235193395997484,0.09235193395997485,0.3542679739410171,2679.014872379074,0.2679014872379074,0.46926422714161514,2,13,9,2012,0
2012-01-01,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,PHL,Philadelphia,0.6501134340764001,0.9175397687680062,9.105263157889999,5.801290439219999,0.09105263157889999,0.05801290439219999,0.5239199686143815,0.5745171128439929,0.6371359441921234,0.06371359441921234,0.3641698047736587,2420.4928123669188,0.24204928123669187,0.42398073284621784,2,1,1,2012,2
2012-06-15,DEN,Denver,0.6496383639449108,0.34459434731456895,SEA,Seattle,1.0000000000000002,0.0012766862525279699,12.68,9.017205775630002,0.1268,0.09017205775630002,0.7095785135767415,0.5671205446557038,0.7111361021790222,0.07111361021790222,0.4996513062715127,1986.4462899651512,0.1986446289965151,0.347951850745428,2,15,6,2012,0
