DateOfDeparture,Departure,CityDeparture,LongitudeDeparture,LatitudeDeparture,Arrival,CityArrival,LongitudeArrival,LatitudeArrival,WeeksToDeparture,std_wtd,Norm mean,Norm std,Norm std(MAX),Norm mean(MAX),CV,CV of norm,Norm CV(MAX),Distance,Norm Distance,Norm Distance(MAX),Airports,Day,Month,Year,IsHolidays,PAX
2011-12-05,ORD,Chicago,0.7473928633272919,0.6710189398000861,EWR,Newark,0.6880043406485579,0.9384172867013378,8.352941176469999,5.66724333859,0.0835294117647,0.056672433385899994,0.33266910312535475,0.3606115573986137,0.6784727940565971,0.06784727940565971,0.36839589060891353,1527.9398870021992,0.15279398870021993,0.2676385030875928,2,5,12,2011,0,7
2013-03-01,ATL,Atlanta,0.3621887489465847,0.7387003640355518,LGA,New York,0.6919176200316315,0.9441805859593362,10.4210526316,10.0017542321,0.104210526316,0.10001754232099999,0.5871063604092123,0.44989566427215405,0.959764294997556,0.0959764294997556,0.5211310244530839,1181.3369431650299,0.11813369431650299,0.20692649874536995,1,1,3,2013,0,7
2012-02-06,ORD,Chicago,0.7473928633272919,0.6710189398000861,BOS,Boston,0.765205407339852,1.0,9.25,7.136820757610001,0.0925,0.0713682075761,0.4189337952781873,0.3993392070488451,0.771548190011892,0.0771548190011892,0.4189337952781873,1879.7523868796684,0.18797523868796684,0.3292630287876501,2,6,2,2012,0,7
2012-12-10,ORD,Chicago,0.7473928633272919,0.6710189398000861,SFO,San Francisco,0.5460776929914688,0.0,8.666666666669999,7.404291283560001,0.08666666666669999,0.07404291283560001,0.43463440572742756,0.3741556534513141,0.8543413019489025,0.08543413019489024,0.46388864457428763,3833.4597352605124,0.38334597352605126,0.6714802289798503,2,10,12,2012,0,7
2012-04-13,SFO,San Francisco,0.5460776929914688,0.0,JFK,New York,0.6855685441510919,0.9460042871958705,14.037037037000001,9.85854366481,0.14037037037,0.0985854366481,0.5786998516125933,0.6060042421265786,0.7023236911624599,0.07023236911624599,0.3813464061757955,5403.554833417769,0.540355483341777,0.9465027644543564,2,13,4,2012,0,7
2011-11-19,SFO,San Francisco,0.5460776929914688,0.0,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,13.653846153800002,9.5621851381,0.136538461538,0.095621851381,0.5613035057361347,0.589461199591937,0.7003290523702546,0.07003290523702546,0.3802633609295682,487.13881467586566,0.04871388146758657,0.08532868620342869,2,19,11,2011,0,7
2012-04-09,LGA,New York,0.6919176200316315,0.9441805859593362,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,9.52631578947,6.68637437923,0.09526315789470001,0.0668637437923,0.39249244032853,0.41126825875284795,0.701884603344857,0.0701884603344857,0.38110799109262883,2571.4703686921193,0.2571470368692119,0.4504264114481282,1,9,4,2012,0,7
2012-05-29,ATL,Atlanta,0.3621887489465847,0.7387003640355518,PHL,Philadelphia,0.6501134340764001,0.9175397687680062,9.55,7.8302718915,0.0955,0.078302718915,0.45963961166719053,0.412290748899078,0.8199237582722513,0.08199237582722513,0.4452006709865458,1027.6848410103114,0.10276848410103114,0.18001233872718098,2,29,5,2012,1,7
2012-09-28,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,ORD,Chicago,0.7473928633272919,0.6710189398000861,15.833333333299999,11.132689774200001,0.15833333333299998,0.11132689774200001,0.6534926597094641,0.6835535976497372,0.7031172488983225,0.07031172488983226,0.38177729067317495,3390.7244973177953,0.3390724497317795,0.5939294055769742,2,28,9,2012,0,7
2012-02-12,JFK,New York,0.6855685441510919,0.9460042871958705,SFO,San Francisco,0.5460776929914688,0.0,9.894736842110001,7.99232087584,0.09894736842110001,0.0799232087584,0.469151941924069,0.42717366102542725,0.8077345566004642,0.08077345566004643,0.43858220102721085,5403.554833417769,0.540355483341777,0.9465027644543564,2,12,2,2012,0,7
2011-09-17,EWR,Newark,0.6880043406485579,0.9384172867013378,ATL,Atlanta,0.3621887489465847,0.7387003640355518,7.6,5.32916503779,0.076,0.0532916503779,0.3128237923818669,0.3281057268725647,0.7012059260250001,0.0701205926025,0.38073948414898284,1148.3068853131601,0.11483068853131602,0.20114085539933804,2,17,9,2011,0,2
2012-06-17,SFO,San Francisco,0.5460776929914688,0.0,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,17.6176470588,13.2345157228,0.17617647058799998,0.132345157228,0.7768705546527087,0.7605856439489309,0.7512079041332237,0.07512079041332237,0.4078894648390705,487.13881467586566,0.04871388146758657,0.08532868620342869,2,17,6,2012,0,7
2011-12-28,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,JFK,New York,0.6855685441510919,0.9460042871958705,19.6829268293,12.8421941747,0.19682926829300001,0.128421941747,0.753841146923827,0.8497475018824976,0.6524534834719352,0.06524534834719352,0.3542679739410171,4955.860857969598,0.49558608579695984,0.8680833538155205,2,28,12,2011,2,7
2011-10-09,LAX,Los Angeles,0.37631049490320123,0.07722087888839058,DEN,Denver,0.6496383639449108,0.34459434731456895,13.3076923077,8.92533128021,0.133076923077,0.08925331280210001,0.5239199686143815,0.5745171128439929,0.6706896337726181,0.06706896337726181,0.3641698047736587,1544.881662246641,0.1544881662246641,0.2706060749172444,2,9,10,2011,0,0
2012-12-01,ATL,Atlanta,0.3621887489465847,0.7387003640355518,MCO,Orlando,0.12172951756461914,0.799418501658604,13.1363636364,12.0881502565,0.131363636364,0.120881502565,0.7095785135767415,0.5671205446557038,0.920205209834823,0.0920205209834823,0.4996513062715127,353.95533631165074,0.03539553363116507,0.06199987131442647,2,1,12,2012,2,0
2012-12-21,DTW,Detroit,0.7581909654479757,0.7596208255651364,ATL,Atlanta,0.3621887489465847,0.7387003640355518,12.038461538499998,8.03233848505,0.12038461538499998,0.0803233848505,0.4715009891362227,0.5197221280943362,0.6672230051457917,0.06672230051457917,0.3622875012361,156.51256917638386,0.015651256917638388,0.027415207944434267,2,21,12,2012,2,0
2012-06-13,PHL,Philadelphia,0.6501134340764001,0.9175397687680062,MCO,Orlando,0.12172951756461914,0.799418501658604,15.357142857100001,11.205865810899999,0.153571428571,0.112058658109,0.6577881178440205,0.6629955947124487,0.7296842853629665,0.07296842853629665,0.39620261051645755,719.5833211080045,0.07195833211080045,0.12604435851596282,2,13,6,2012,0,0
2012-07-15,PHL,Philadelphia,0.6501134340764001,0.9175397687680062,MCO,Orlando,0.12172951756461914,0.799418501658604,14.482758620699999,9.50045370967,0.14482758620699998,0.0950045370967,0.557679849982619,0.6252468479427205,0.6559837085243648,0.06559837085243649,0.3561848089469779,719.5833211080045,0.07195833211080045,0.12604435851596282,2,15,7,2012,1,0
2012-02-05,SFO,San Francisco,0.5460776929914688,0.0,BOS,Boston,0.765205407339852,1.0,8.833333333330001,5.863646727180001,0.08833333333330001,0.05863646727180001,0.3441980485454524,0.3813509544789335,0.6638090634545901,0.06638090634545901,0.36043380555244936,5708.968886670745,0.5708968886670744,1.0,2,5,2,2012,0,0
2012-12-26,ATL,Atlanta,0.3621887489465847,0.7387003640355518,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,9.21052631579,5.98682764602,0.0921052631579,0.0598682764602,0.3514288101952345,0.3976350568054162,0.6499984301392772,0.06499984301392772,0.35293493366747963,1402.5714537480035,0.14025714537480036,0.24567859478490348,2,26,12,2012,2,0
2012-04-25,ATL,Atlanta,0.3621887489465847,0.7387003640355518,LGA,New York,0.6919176200316315,0.9441805859593362,8.21052631579,5.78867618112,0.0821052631579,0.0578867618112,0.3397972521037729,0.35446325063797346,0.7050310733414932,0.07050310733414931,0.3828164554950914,1181.3369431650299,0.11813369431650299,0.20692649874536995,1,25,4,2012,0,7
2012-10-04,LGA,New York,0.6919176200316315,0.9441805859593362,DFW,Dallas-Fort Worth,0.3280227191392586,0.49322631929307437,17.8387096774,12.6599019854,0.178387096774,0.126599019854,0.743140533680656,0.7701293164699975,0.7096870914065566,0.07096870914065566,0.38534457148853407,2571.4703686921193,0.2571470368692119,0.4504264114481282,1,4,10,2012,0,7
2012-11-10,LAS,Las Vegas,0.4750149960172241,0.14060113014463704,JFK,New York,0.6855685441510919,0.9460042871958705,14.275862069,10.905098911300001,0.14275862069,0.10905098911300001,0.6401329989860717,0.6163147501160158,0.7638837401616815,0.07638837401616815,0.41477216661255784,4598.323701126353,0.4598323701126353,0.8054560801447845,2,10,11,2012,0,0
2013-01-26,ORD,Chicago,0.7473928633272919,0.6710189398000861,DTW,Detroit,0.7581909654479757,0.7596208255651364,7.86666666667,6.139644785750001,0.0786666666667,0.06139644785750001,0.3603992280472425,0.33961820851735997,0.780463320222127,0.0780463320222127,0.42377451602994676,506.26018847884245,0.050626018847884244,0.08867804301068355,2,26,1,2013,0,2
2012-11-22,EWR,Newark,0.6880043406485579,0.9384172867013378,BOS,Boston,0.765205407339852,1.0,8.76470588235,6.476200774419999,0.0876470588235,0.06476200774419999,0.3801551785531848,0.3783881834674592,0.7388953903703149,0.0738895390370315,0.4012040391107945,356.2123684197035,0.035621236841970355,0.062395219783275634,2,22,11,2012,0,4
2012-11-29,MIA,Miami,0.0,0.8192441545511606,JFK,New York,0.6855685441510919,0.9460042871958705,14.25,14.407143695899999,0.1425,0.144071436959,0.8457042137713473,0.6151982378860588,1.0110276277824561,0.10110276277824562,0.548965893149822,807.8739736741641,0.0807873973674164,0.1415096122804911,2,29,11,2012,2,2
