DateOfDeparture,Departure,CityDeparture,LongitudeDeparture,LatitudeDeparture,Arrival,CityArrival,LongitudeArrival,LatitudeArrival,WeeksToDeparture,std_wtd,PAX
2011-12-05,ORD,Chicago,41.978603,-87.904842,EWR,Newark,40.6925,-74.168667,8.352941176469999,5.66724333859,7
2013-03-01,ATL,Atlanta,33.636719,-84.428067,LGA,New York,40.777245,-73.872608,10.4210526316,10.0017542321,7
2012-02-06,ORD,Chicago,41.978603,-87.904842,BOS,Boston,42.364346999999995,-71.00518100000001,9.25,7.136820757610001,7
2012-12-10,ORD,Chicago,41.978603,-87.904842,SFO,San Francisco,37.618972,-122.374889,8.666666666669999,7.404291283560001,7
2012-04-13,SFO,San Francisco,37.618972,-122.374889,JFK,New York,40.639751000000004,-73.778925,14.037037037000001,9.85854366481,7
2011-11-19,SFO,San Francisco,37.618972,-122.374889,LAX,Los Angeles,33.942536,-118.408075,13.653846153800002,9.5621851381,7
2012-04-09,LGA,New York,40.777245,-73.872608,DFW,Dallas-Fort Worth,32.896828,-97.037997,9.52631578947,6.68637437923,7
2012-05-29,ATL,Atlanta,33.636719,-84.428067,PHL,Philadelphia,39.871944,-75.241139,9.55,7.8302718915,7
2012-09-28,LAX,Los Angeles,33.942536,-118.408075,ORD,Chicago,41.978603,-87.904842,15.833333333299999,11.132689774200001,7
2012-02-12,JFK,New York,40.639751000000004,-73.778925,SFO,San Francisco,37.618972,-122.374889,9.894736842110001,7.99232087584,7
2011-09-17,EWR,Newark,40.6925,-74.168667,ATL,Atlanta,33.636719,-84.428067,7.6,5.32916503779,2
2012-06-17,SFO,San Francisco,37.618972,-122.374889,LAX,Los Angeles,33.942536,-118.408075,17.6176470588,13.2345157228,7
2011-12-28,LAX,Los Angeles,33.942536,-118.408075,JFK,New York,40.639751000000004,-73.778925,19.6829268293,12.8421941747,7
2011-10-09,LAX,Los Angeles,33.942536,-118.408075,DEN,Denver,39.861655999999996,-104.67317800000001,13.3076923077,8.92533128021,0
2012-12-01,ATL,Atlanta,33.636719,-84.428067,MCO,Orlando,28.429394,-81.308994,13.1363636364,12.0881502565,0
2012-12-21,DTW,Detroit,42.212444,-83.353389,ATL,Atlanta,33.636719,-84.428067,12.038461538499998,8.03233848505,0
2012-06-13,PHL,Philadelphia,39.871944,-75.241139,MCO,Orlando,28.429394,-81.308994,15.357142857100001,11.205865810899999,0
2012-07-15,PHL,Philadelphia,39.871944,-75.241139,MCO,Orlando,28.429394,-81.308994,14.482758620699999,9.50045370967,0
2012-02-05,SFO,San Francisco,37.618972,-122.374889,BOS,Boston,42.364346999999995,-71.00518100000001,8.833333333330001,5.863646727180001,0
2012-12-26,ATL,Atlanta,33.636719,-84.428067,DFW,Dallas-Fort Worth,32.896828,-97.037997,9.21052631579,5.98682764602,0
2012-04-25,ATL,Atlanta,33.636719,-84.428067,LGA,New York,40.777245,-73.872608,8.21052631579,5.78867618112,7
2012-10-04,LGA,New York,40.777245,-73.872608,DFW,Dallas-Fort Worth,32.896828,-97.037997,17.8387096774,12.6599019854,7
2012-11-10,LAS,Las Vegas,36.080056,-115.15225,JFK,New York,40.639751000000004,-73.778925,14.275862069,10.905098911300001,0
2013-01-26,ORD,Chicago,41.978603,-87.904842,DTW,Detroit,42.212444,-83.353389,7.86666666667,6.139644785750001,2
2012-11-22,EWR,Newark,40.6925,-74.168667,BOS,Boston,42.364346999999995,-71.00518100000001,8.76470588235,6.476200774419999,4
2012-11-29,MIA,Miami,25.79325,-80.29055600000001,JFK,New York,40.639751000000004,-73.778925,14.25,14.407143695899999,2
2012-12-24,DFW,Dallas-Fort Worth,32.896828,-97.037997,ORD,Chicago,41.978603,-87.904842,9.0,6.3338493081900005,2
2013-02-08,DEN,Denver,39.861655999999996,-104.67317800000001,LAS,Las Vegas,36.080056,-115.15225,10.0952380952,6.36321272554,0
2012-06-19,ORD,Chicago,41.978603,-87.904842,PHX,Phoenix,33.434278000000006,-112.011583,11.7727272727,8.970490341649999,0
2013-01-24,MIA,Miami,25.79325,-80.29055600000001,JFK,New York,40.639751000000004,-73.778925,11.5555555556,11.902655275799999,2
2012-05-12,ORD,Chicago,41.978603,-87.904842,LGA,New York,40.777245,-73.872608,16.3043478261,14.1467464381,3
2013-01-05,MIA,Miami,25.79325,-80.29055600000001,LGA,New York,40.777245,-73.872608,17.606060606099998,11.597250196500001,0
2012-08-12,LGA,New York,40.777245,-73.872608,BOS,Boston,42.364346999999995,-71.00518100000001,6.3,5.73585215988,2
2012-02-29,SFO,San Francisco,37.618972,-122.374889,SEA,Seattle,47.449,-122.309306,10.8947368421,9.49792221045,3
2013-01-31,ATL,Atlanta,33.636719,-84.428067,SFO,San Francisco,37.618972,-122.374889,6.307692307690001,4.44193305114,0
2012-03-09,MSP,Minneapolis,44.881956,-93.221767,ORD,Chicago,41.978603,-87.904842,9.444444444439998,7.35024787275,3
2012-05-22,ORD,Chicago,41.978603,-87.904842,LAX,Los Angeles,33.942536,-118.408075,11.84,8.778192676549999,7
2012-09-02,EWR,Newark,40.6925,-74.168667,MCO,Orlando,28.429394,-81.308994,14.666666666700001,10.6011610395,2
2012-04-17,DFW,Dallas-Fort Worth,32.896828,-97.037997,ATL,Atlanta,33.636719,-84.428067,7.666666666669999,5.43409714347,3
2012-09-27,LAX,Los Angeles,33.942536,-118.408075,LAS,Las Vegas,36.080056,-115.15225,18.702702702699998,13.059404582400001,3
2012-05-27,ATL,Atlanta,33.636719,-84.428067,ORD,Chicago,41.978603,-87.904842,11.7391304348,10.3932556423,2
2012-01-08,DEN,Denver,39.861655999999996,-104.67317800000001,LAS,Las Vegas,36.080056,-115.15225,11.2631578947,10.2080692769,0
2012-02-27,DFW,Dallas-Fort Worth,32.896828,-97.037997,DEN,Denver,39.861655999999996,-104.67317800000001,9.15,6.8462436877199995,3
2012-02-16,LAX,Los Angeles,33.942536,-118.408075,SEA,Seattle,47.449,-122.309306,10.05,6.80150912047,3
2012-02-01,MSP,Minneapolis,44.881956,-93.221767,ORD,Chicago,41.978603,-87.904842,9.833333333330001,7.67156706133,3
2012-07-26,LAX,Los Angeles,33.942536,-118.408075,DFW,Dallas-Fort Worth,32.896828,-97.037997,16.636363636400002,12.2444328723,3
2011-12-31,PHL,Philadelphia,39.871944,-75.241139,DFW,Dallas-Fort Worth,32.896828,-97.037997,7.5,4.7609522857,4
2012-12-12,JFK,New York,40.639751000000004,-73.778925,LAS,Las Vegas,36.080056,-115.15225,14.541666666700001,13.147918223900001,2
2012-09-19,EWR,Newark,40.6925,-74.168667,MCO,Orlando,28.429394,-81.308994,11.0476190476,8.32151542975,0
2012-12-18,DEN,Denver,39.861655999999996,-104.67317800000001,ATL,Atlanta,33.636719,-84.428067,9.27777777778,6.80661923127,0
2012-05-21,EWR,Newark,40.6925,-74.168667,LAX,Los Angeles,33.942536,-118.408075,10.25,7.635615992110001,3
2012-01-09,ORD,Chicago,41.978603,-87.904842,DFW,Dallas-Fort Worth,32.896828,-97.037997,10.7,7.6921012118,7
2012-07-20,ORD,Chicago,41.978603,-87.904842,EWR,Newark,40.6925,-74.168667,14.642857142899999,10.3966315261,7
2011-09-11,LGA,New York,40.777245,-73.872608,ORD,Chicago,41.978603,-87.904842,12.3703703704,8.3165643246,7
2011-09-02,DFW,Dallas-Fort Worth,32.896828,-97.037997,LAS,Las Vegas,36.080056,-115.15225,11.625,7.305819598099999,0
2012-04-01,DFW,Dallas-Fort Worth,32.896828,-97.037997,SFO,San Francisco,37.618972,-122.374889,10.7,7.7466461333800005,0
2012-09-04,SFO,San Francisco,37.618972,-122.374889,LAX,Los Angeles,33.942536,-118.408075,14.666666666700001,10.3867731982,7
2012-06-02,EWR,Newark,40.6925,-74.168667,BOS,Boston,42.364346999999995,-71.00518100000001,8.29411764706,5.42868199799,2
2011-11-26,JFK,New York,40.639751000000004,-73.778925,LAS,Las Vegas,36.080056,-115.15225,13.6,9.85308750257,5
2012-02-13,MSP,Minneapolis,44.881956,-93.221767,DEN,Denver,39.861655999999996,-104.67317800000001,12.7,11.1076076348,0
2013-02-28,ORD,Chicago,41.978603,-87.904842,SFO,San Francisco,37.618972,-122.374889,9.352941176469999,8.594628965750001,3
2011-11-16,ORD,Chicago,41.978603,-87.904842,DTW,Detroit,42.212444,-83.353389,8.31578947368,6.0374077548,3
2012-10-11,JFK,New York,40.639751000000004,-73.778925,MCO,Orlando,28.429394,-81.308994,15.275862069,10.2779116546,0
2013-02-15,MSP,Minneapolis,44.881956,-93.221767,ORD,Chicago,41.978603,-87.904842,9.77777777778,8.01142974356,3
2012-11-12,SFO,San Francisco,37.618972,-122.374889,SEA,Seattle,47.449,-122.309306,8.88888888889,6.067162229269999,3
2011-09-26,DTW,Detroit,42.212444,-83.353389,LGA,New York,40.777245,-73.872608,7.4117647058800005,5.71247345212,3
2012-06-08,DTW,Detroit,42.212444,-83.353389,LGA,New York,40.777245,-73.872608,9.894736842110001,7.00709748788,0
2011-12-15,SFO,San Francisco,37.618972,-122.374889,EWR,Newark,40.6925,-74.168667,11.9545454545,9.45403553403,3
2011-09-18,LAS,Las Vegas,36.080056,-115.15225,ORD,Chicago,41.978603,-87.904842,13.6785714286,8.51166333324,3
2011-12-01,ORD,Chicago,41.978603,-87.904842,DEN,Denver,39.861655999999996,-104.67317800000001,9.05882352941,6.85082648513,3
2011-12-18,SFO,San Francisco,37.618972,-122.374889,SEA,Seattle,47.449,-122.309306,10.833333333299999,7.37602854533,0
2012-02-26,MSP,Minneapolis,44.881956,-93.221767,DEN,Denver,39.861655999999996,-104.67317800000001,12.2631578947,12.0639136144,5
2012-12-21,EWR,Newark,40.6925,-74.168667,BOS,Boston,42.364346999999995,-71.00518100000001,15.52,12.8423777653,5
2012-03-15,LAX,Los Angeles,33.942536,-118.408075,ATL,Atlanta,33.636719,-84.428067,11.7391304348,9.401244556410001,3
2012-11-23,CLT,Charlotte,35.214,-80.943139,LGA,New York,40.777245,-73.872608,10.55,7.810081204510001,5
2012-12-01,ATL,Atlanta,33.636719,-84.428067,ORD,Chicago,41.978603,-87.904842,11.6,11.7042502402,5
2012-05-05,IAH,Houston,29.984433000000003,-95.341442,ORD,Chicago,41.978603,-87.904842,10.55,10.6399198652,5
2013-03-02,LAX,Los Angeles,33.942536,-118.408075,LAS,Las Vegas,36.080056,-115.15225,10.222222222200001,9.84321537349,5
2012-04-18,ATL,Atlanta,33.636719,-84.428067,MIA,Miami,25.79325,-80.29055600000001,7.0,4.472135955,0
2012-04-28,ATL,Atlanta,33.636719,-84.428067,SFO,San Francisco,37.618972,-122.374889,8.470588235289998,6.10448244181,5
2013-03-01,DFW,Dallas-Fort Worth,32.896828,-97.037997,SFO,San Francisco,37.618972,-122.374889,6.92857142857,4.8272350058999995,0
2012-02-15,ATL,Atlanta,33.636719,-84.428067,DTW,Detroit,42.212444,-83.353389,8.46153846154,7.6986512305199994,0
2012-05-04,LAS,Las Vegas,36.080056,-115.15225,DFW,Dallas-Fort Worth,32.896828,-97.037997,12.0454545455,9.32726302287,3
2012-10-25,EWR,Newark,40.6925,-74.168667,LAX,Los Angeles,33.942536,-118.408075,13.84,10.0775327668,0
2013-03-03,ORD,Chicago,41.978603,-87.904842,IAH,Houston,29.984433000000003,-95.341442,6.46153846154,4.57557618622,2
2012-09-21,LAX,Los Angeles,33.942536,-118.408075,DEN,Denver,39.861655999999996,-104.67317800000001,14.3703703704,9.81030913082,6
2012-06-10,LAX,Los Angeles,33.942536,-118.408075,BOS,Boston,42.364346999999995,-71.00518100000001,12.304347826099999,9.30021887625,6
2012-05-27,ATL,Atlanta,33.636719,-84.428067,PHL,Philadelphia,39.871944,-75.241139,9.65,6.17529031919,0
2011-11-29,SFO,San Francisco,37.618972,-122.374889,EWR,Newark,40.6925,-74.168667,10.842105263199999,9.51176556747,6
2012-07-05,MCO,Orlando,28.429394,-81.308994,ATL,Atlanta,33.636719,-84.428067,12.583333333299999,8.98267253088,0
2012-12-26,ORD,Chicago,41.978603,-87.904842,SEA,Seattle,47.449,-122.309306,11.5217391304,10.4658299641,5
2012-05-02,BOS,Boston,42.364346999999995,-71.00518100000001,SFO,San Francisco,37.618972,-122.374889,7.5625,4.87125924856,6
2012-01-06,ATL,Atlanta,33.636719,-84.428067,ORD,Chicago,41.978603,-87.904842,11.666666666700001,11.188229108699998,6
2012-12-26,PHX,Phoenix,33.434278000000006,-112.011583,ORD,Chicago,41.978603,-87.904842,12.625,8.850509688099999,2
2012-11-06,LAS,Las Vegas,36.080056,-115.15225,SFO,San Francisco,37.618972,-122.374889,14.0769230769,11.4470016229,5
2012-03-05,IAH,Houston,29.984433000000003,-95.341442,LAX,Los Angeles,33.942536,-118.408075,11.2105263158,11.5690148787,0
2012-07-29,JFK,New York,40.639751000000004,-73.778925,MCO,Orlando,28.429394,-81.308994,15.8125,11.5491586064,0
2012-06-27,EWR,Newark,40.6925,-74.168667,ORD,Chicago,41.978603,-87.904842,12.76,8.57457481939,3
2012-02-05,LGA,New York,40.777245,-73.872608,ORD,Chicago,41.978603,-87.904842,8.0,5.04975246918,3
2012-10-17,ORD,Chicago,41.978603,-87.904842,DTW,Detroit,42.212444,-83.353389,9.94117647059,10.2620087473,3
2012-02-14,DFW,Dallas-Fort Worth,32.896828,-97.037997,SFO,San Francisco,37.618972,-122.374889,8.333333333330001,6.84174859298,6
2012-05-07,DFW,Dallas-Fort Worth,32.896828,-97.037997,ATL,Atlanta,33.636719,-84.428067,7.529411764710001,6.0220184226199995,3
2012-05-22,ATL,Atlanta,33.636719,-84.428067,LAX,Los Angeles,33.942536,-118.408075,12.2272727273,9.75378714328,3
2012-11-25,SFO,San Francisco,37.618972,-122.374889,ORD,Chicago,41.978603,-87.904842,10.3,7.637166738360001,3
2012-01-06,LAS,Las Vegas,36.080056,-115.15225,SFO,San Francisco,37.618972,-122.374889,16.8709677419,11.3805153237,6
2012-09-26,LAX,Los Angeles,33.942536,-118.408075,ATL,Atlanta,33.636719,-84.428067,12.791666666700001,10.112322086,6
2011-12-06,ATL,Atlanta,33.636719,-84.428067,MCO,Orlando,28.429394,-81.308994,13.2307692308,10.5006959476,3
2013-02-04,ATL,Atlanta,33.636719,-84.428067,SFO,San Francisco,37.618972,-122.374889,7.666666666669999,5.4989176424199995,6
2012-01-13,BOS,Boston,42.364346999999995,-71.00518100000001,LGA,New York,40.777245,-73.872608,4.11111111111,2.93446947694,3
2012-05-17,LGA,New York,40.777245,-73.872608,DTW,Detroit,42.212444,-83.353389,11.304347826099999,8.99714491385,3
2012-02-24,EWR,Newark,40.6925,-74.168667,MCO,Orlando,28.429394,-81.308994,12.652173913,9.48495792703,6
2012-05-19,LGA,New York,40.777245,-73.872608,MIA,Miami,25.79325,-80.29055600000001,13.4230769231,9.782323147080001,6
2012-09-28,LAX,Los Angeles,33.942536,-118.408075,BOS,Boston,42.364346999999995,-71.00518100000001,16.0344827586,11.6050566522,6
2012-11-13,DEN,Denver,39.861655999999996,-104.67317800000001,SFO,San Francisco,37.618972,-122.374889,11.619047619000002,8.87398552217,3
2012-09-27,ATL,Atlanta,33.636719,-84.428067,LAX,Los Angeles,33.942536,-118.408075,14.16,11.066767067799999,6
2011-10-04,LAS,Las Vegas,36.080056,-115.15225,SFO,San Francisco,37.618972,-122.374889,14.2142857143,9.255057247589999,0
2012-03-09,JFK,New York,40.639751000000004,-73.778925,MIA,Miami,25.79325,-80.29055600000001,14.3793103448,10.857564160899999,6
2012-11-06,ORD,Chicago,41.978603,-87.904842,SEA,Seattle,47.449,-122.309306,11.0,8.70571500132,0
2012-10-10,DEN,Denver,39.861655999999996,-104.67317800000001,SFO,San Francisco,37.618972,-122.374889,10.4736842105,8.454902726639999,3
2013-02-11,DEN,Denver,39.861655999999996,-104.67317800000001,ATL,Atlanta,33.636719,-84.428067,9.3,7.42754475265,0
2012-08-14,SFO,San Francisco,37.618972,-122.374889,EWR,Newark,40.6925,-74.168667,17.1290322581,11.735251553900001,0
2012-02-19,LAS,Las Vegas,36.080056,-115.15225,ORD,Chicago,41.978603,-87.904842,11.6363636364,8.3011499751,0
2011-10-23,DEN,Denver,39.861655999999996,-104.67317800000001,ORD,Chicago,41.978603,-87.904842,10.05,6.916608539179999,6
2012-09-13,DEN,Denver,39.861655999999996,-104.67317800000001,MSP,Minneapolis,44.881956,-93.221767,9.47368421053,6.702971323330001,6
2013-02-05,DEN,Denver,39.861655999999996,-104.67317800000001,SEA,Seattle,47.449,-122.309306,11.4444444444,10.4668789787,5
2012-07-01,SFO,San Francisco,37.618972,-122.374889,LAX,Los Angeles,33.942536,-118.408075,14.3666666667,10.1045682169,7
2012-06-10,ATL,Atlanta,33.636719,-84.428067,MCO,Orlando,28.429394,-81.308994,13.724137931,9.68023225712,3
2012-10-22,MIA,Miami,25.79325,-80.29055600000001,JFK,New York,40.639751000000004,-73.778925,12.84,10.2983817499,0
2011-10-02,DFW,Dallas-Fort Worth,32.896828,-97.037997,SFO,San Francisco,37.618972,-122.374889,13.6206896552,9.313637440039999,3
2012-03-25,DTW,Detroit,42.212444,-83.353389,ORD,Chicago,41.978603,-87.904842,6.0,3.89444048185,5
2012-03-09,JFK,New York,40.639751000000004,-73.778925,MCO,Orlando,28.429394,-81.308994,13.6785714286,9.684097584789999,6
2012-04-20,LAX,Los Angeles,33.942536,-118.408075,SEA,Seattle,47.449,-122.309306,10.7272727273,8.74605662533,6
2012-02-02,LAX,Los Angeles,33.942536,-118.408075,ATL,Atlanta,33.636719,-84.428067,14.222222222200001,11.1677190472,3
2012-10-17,DEN,Denver,39.861655999999996,-104.67317800000001,SEA,Seattle,47.449,-122.309306,10.857142857100001,8.02674102165,0
2013-02-07,PHX,Phoenix,33.434278000000006,-112.011583,DEN,Denver,39.861655999999996,-104.67317800000001,9.11111111111,6.37909166398,6
2012-05-13,SFO,San Francisco,37.618972,-122.374889,ATL,Atlanta,33.636719,-84.428067,10.380952381,9.14043866823,0
2012-09-03,DTW,Detroit,42.212444,-83.353389,ATL,Atlanta,33.636719,-84.428067,10.782608695699999,7.919805563150001,2
2013-02-25,ORD,Chicago,41.978603,-87.904842,IAH,Houston,29.984433000000003,-95.341442,6.076923076919999,4.03033370127,3
2011-10-19,DEN,Denver,39.861655999999996,-104.67317800000001,LAS,Las Vegas,36.080056,-115.15225,12.8076923077,8.12905520104,0
2011-09-17,BOS,Boston,42.364346999999995,-71.00518100000001,SFO,San Francisco,37.618972,-122.374889,13.0769230769,8.4802031906,0
2012-06-29,BOS,Boston,42.364346999999995,-71.00518100000001,LAX,Los Angeles,33.942536,-118.408075,14.407407407400001,10.6129792064,6
2011-10-07,ATL,Atlanta,33.636719,-84.428067,PHL,Philadelphia,39.871944,-75.241139,10.0555555556,7.779854998060001,3
2011-11-20,ATL,Atlanta,33.636719,-84.428067,DEN,Denver,39.861655999999996,-104.67317800000001,11.458333333299999,8.83657993386,5
2012-02-02,LGA,New York,40.777245,-73.872608,DTW,Detroit,42.212444,-83.353389,5.6363636363600005,4.58852323243,6
2012-01-18,ORD,Chicago,41.978603,-87.904842,BOS,Boston,42.364346999999995,-71.00518100000001,9.352941176469999,7.4072698789,3
2012-08-26,EWR,Newark,40.6925,-74.168667,LAX,Los Angeles,33.942536,-118.408075,15.592592592599999,10.0546937346,0
2011-11-28,DFW,Dallas-Fort Worth,32.896828,-97.037997,BOS,Boston,42.364346999999995,-71.00518100000001,9.0,6.58596993616,6
2012-04-07,SEA,Seattle,47.449,-122.309306,SFO,San Francisco,37.618972,-122.374889,9.555555555560002,7.50076248847,5
2012-03-31,MSP,Minneapolis,44.881956,-93.221767,ORD,Chicago,41.978603,-87.904842,8.94117647059,7.004200420419999,2
2012-10-21,BOS,Boston,42.364346999999995,-71.00518100000001,LAX,Los Angeles,33.942536,-118.408075,13.892857142899999,8.84156549618,3
2012-07-11,DEN,Denver,39.861655999999996,-104.67317800000001,SEA,Seattle,47.449,-122.309306,14.517241379300001,9.31059569084,0
2012-07-25,DFW,Dallas-Fort Worth,32.896828,-97.037997,LAS,Las Vegas,36.080056,-115.15225,12.64,8.40575199888,0
2012-12-22,BOS,Boston,42.364346999999995,-71.00518100000001,PHL,Philadelphia,39.871944,-75.241139,9.8,8.410877311130001,4
2012-08-02,DEN,Denver,39.861655999999996,-104.67317800000001,SEA,Seattle,47.449,-122.309306,14.0,8.99382504215,0
2012-01-22,IAH,Houston,29.984433000000003,-95.341442,ORD,Chicago,41.978603,-87.904842,9.6,8.774364574380002,6
2012-10-04,LAS,Las Vegas,36.080056,-115.15225,ORD,Chicago,41.978603,-87.904842,16.1071428571,11.704191353399999,6
2011-12-27,ORD,Chicago,41.978603,-87.904842,PHL,Philadelphia,39.871944,-75.241139,8.470588235289998,5.93840937309,5
2011-11-04,SFO,San Francisco,37.618972,-122.374889,DFW,Dallas-Fort Worth,32.896828,-97.037997,13.5,9.51314879522,3
2011-10-17,EWR,Newark,40.6925,-74.168667,MCO,Orlando,28.429394,-81.308994,13.6153846154,9.05572492107,6
2012-01-29,ATL,Atlanta,33.636719,-84.428067,LAX,Los Angeles,33.942536,-118.408075,10.916666666700001,7.700461119260001,6
2012-12-14,LAS,Las Vegas,36.080056,-115.15225,JFK,New York,40.639751000000004,-73.778925,13.7857142857,10.307699901,5
2013-03-04,DFW,Dallas-Fort Worth,32.896828,-97.037997,PHL,Philadelphia,39.871944,-75.241139,10.4,7.021770656889999,2
2012-09-15,ORD,Chicago,41.978603,-87.904842,ATL,Atlanta,33.636719,-84.428067,11.45,11.4637873782,5
2012-01-28,LAX,Los Angeles,33.942536,-118.408075,EWR,Newark,40.6925,-74.168667,10.857142857100001,9.28593406333,5
2012-01-15,ORD,Chicago,41.978603,-87.904842,SFO,San Francisco,37.618972,-122.374889,10.6956521739,7.89381105452,6
2012-05-20,EWR,Newark,40.6925,-74.168667,LAX,Los Angeles,33.942536,-118.408075,11.956521739100001,8.444892274839999,3
2012-02-03,LAX,Los Angeles,33.942536,-118.408075,ORD,Chicago,41.978603,-87.904842,11.25,9.289920967310001,7
2012-02-18,JFK,New York,40.639751000000004,-73.778925,LAS,Las Vegas,36.080056,-115.15225,12.038461538499998,8.45922345954,0
2012-12-17,PHL,Philadelphia,39.871944,-75.241139,DFW,Dallas-Fort Worth,32.896828,-97.037997,7.13333333333,4.718756898450001,0
