DateOfDeparture,Departure,CityDeparture,LongitudeDeparture,LatitudeDeparture,Arrival,CityArrival,LongitudeArrival,LatitudeArrival,WeeksToDeparture,std_wtd,Distance,Airports,IsHolidays,PAX
2011-12-05,ORD,Chicago,0.8938725204479091,0.3346266643573873,EWR,Newark,0.6283110444931392,1.1149707570164968,-1.110302258166376,-1.3825581527625215,-0.2392659690345334,2,0,7
2013-03-01,ATL,Atlanta,-0.8943979245601477,0.5339094331141337,LGA,New York,0.646326183027276,1.1318908985409502,-0.37108727636396177,0.6432821359874743,-0.46653786391600904,1,0,7
2012-02-06,ORD,Chicago,0.8938725204479091,0.3346266643573873,BOS,Boston,0.9837131958045018,1.2957679320073814,-0.7896622267664526,-0.6957149965149355,-0.0085781029565568,2,0,7
2012-12-10,ORD,Chicago,0.8938725204479091,0.3346266643573873,SFO,San Francisco,-0.025061221818141473,-1.6400750230449435,-0.9981658537410312,-0.5707060668260125,1.2724922947575934,2,0,7
2012-04-13,SFO,San Francisco,-0.04071243283613562,-1.6411371988017678,JFK,New York,0.6170976331704986,1.137244998968349,0.9213913469738464,0.5763491545926833,2.3020233314874936,2,0,7
2011-11-19,SFO,San Francisco,-0.04071243283613562,-1.6411371988017678,LAX,Los Angeles,-0.8066000011194456,-1.4133666497775126,0.7844255944517065,0.4378387071457426,-0.921732278418807,2,0,7
2012-04-09,LGA,New York,0.6363344145147665,1.138930205242993,DFW,Dallas-Fort Worth,-1.028897180731876,-0.19204000830198248,-0.6908973508318784,-0.9062421917770472,0.44499004828211436,1,0,7
2012-05-29,ATL,Atlanta,-0.8943979245601477,0.5339094331141337,PHL,Philadelphia,0.4538768004077361,1.0536776430729469,-0.6824317900360566,-0.37161355120142936,-0.5672894733011572,2,1,7
2012-09-28,LAX,Los Angeles,-0.8288391727624693,-1.4137662366132386,ORD,Chicago,0.901711524924661,0.3299312040738194,1.5634501348053167,1.1718526809585166,0.9821852496295715,2,0,7
2012-02-12,JFK,New York,0.6068594833642096,1.144299953824779,SFO,San Francisco,-0.025061221818141473,-1.6400750230449435,-0.5592108495810139,-0.29587597220064143,2.3020233314874936,2,0,7
2011-09-17,EWR,Newark,0.6181674178432467,1.1219606120897538,ATL,Atlanta,-0.8716107465450657,0.5286332366034194,-1.3794296287836294,-1.5405673628762298,-0.4881960868754938,2,0,2
2012-06-17,SFO,San Francisco,-0.04071243283613562,-1.6411371988017678,LAX,Los Angeles,-0.8066000011194456,-1.4133666497775126,2.2012259349699983,2.1541927399002168,-0.921732278418807,2,0,7
2011-12-28,LAX,Los Angeles,-0.8288391727624693,-1.4137662366132386,JFK,New York,0.6170976331704986,1.137244998968349,2.9394287741738876,1.970831613855808,2.008464780020236,2,2,7
2011-10-09,LAX,Los Angeles,-0.8288391727624693,-1.4137662366132386,DEN,Denver,0.45168977173065483,-0.6284001361306121,0.6606981674743418,0.14018939098156608,-0.22815703464455525,2,0,0
2012-12-01,ATL,Atlanta,-0.8943979245601477,0.5339094331141337,MCO,Orlando,-1.9785867482829338,0.7068921531879545,0.5994593399812173,1.6184106403005964,-1.0090623546138933,2,2,0
2012-12-21,DTW,Detroit,0.9440015978998523,0.5955081294237772,ATL,Atlanta,-0.8716107465450657,0.5286332366034194,0.2070309351644341,-0.27717275816132414,-1.1385280519351342,2,2,0
2012-06-13,PHL,Philadelphia,0.44226278487615706,1.0604883599094759,MCO,Orlando,-1.9785867482829338,0.7068921531879545,1.393243092372714,1.2060533017344075,-0.7693155018999104,2,0,0
2012-07-15,PHL,Philadelphia,0.44226278487615706,1.0604883599094759,MCO,Orlando,-1.9785867482829338,0.7068921531879545,1.080707747241561,0.4089870055655643,-0.7693155018999104,2,1,0
2012-02-05,SFO,San Francisco,-0.04071243283613562,-1.6411371988017678,BOS,Boston,0.9837131958045018,1.2957679320073814,-0.9385933888931932,-1.2907641978670825,2.5022871545173544,2,0,0
2012-12-26,ATL,Atlanta,-0.8943979245601477,0.5339094331141337,DFW,Dallas-Fort Worth,-1.028897180731876,-0.19204000830198248,-0.803771494757106,-1.2331925653756395,-0.3214716221907526,2,2,0
2012-04-25,ATL,Atlanta,-0.8943979245601477,0.5339094331141337,LGA,New York,0.646326183027276,1.1318908985409502,-1.1612062838584252,-1.3258035267346933,-0.46653786391600904,1,0,7
2012-10-04,LGA,New York,0.6363344145147665,1.138930205242993,DFW,Dallas-Fort Worth,-1.028897180731876,-0.19204000830198248,2.2802414054274753,1.885632875063544,0.44499004828211436,1,0,7
2012-11-10,LAS,Las Vegas,-0.3706136877744708,-1.2271479421917033,JFK,New York,0.6170976331704986,1.137244998968349,1.0067557219188819,1.0654824927777604,1.7740231846122232,2,0,0
2013-01-26,ORD,Chicago,0.8938725204479091,0.3346266643573873,DTW,Detroit,0.9514215728326335,0.5900524262014935,-1.284113685022086,-1.1617697160432945,-0.90919415393311,2,0,2
2012-11-22,EWR,Newark,0.6181674178432467,1.1219606120897538,BOS,Boston,0.9837131958045018,1.2957679320073814,-0.963123227360791,-1.0044719959502082,-1.0075823903691392,2,0,4
2012-11-29,MIA,Miami,-2.5758219049268005,0.7710644540290597,JFK,New York,0.6170976331704986,1.137244998968349,0.997511718740143,2.702249268072314,-0.7114222143043499,2,2,2
2012-12-24,DFW,Dallas-Fort Worth,-1.0530102006152278,-0.1888700864776597,ORD,Chicago,0.901711524924661,0.3299312040738194,-0.8790209240417823,-1.07100345533197,-0.5765105257230155,2,2,2
2013-02-08,DEN,Denver,0.440057320698251,-0.6265055416448485,LAS,Las Vegas,-0.3522048283129221,-1.2272921856374157,-0.4875447264682402,-1.0572797399360583,-0.4714990667956769,2,0,0
2012-06-19,ORD,Chicago,0.8938725204479091,0.3346266643573873,PHX,Phoenix,-0.9146457652481057,-1.047799144989505,0.11204826391121758,0.16129558919282527,0.5155083274012454,2,0,0
2013-01-24,MIA,Miami,-2.5758219049268005,0.7710644540290597,JFK,New York,0.6170976331704986,1.137244998968349,0.03442353701080796,1.5317149981635285,-0.7114222143043499,2,0,2
2012-05-12,ORD,Chicago,0.8938725204479091,0.3346266643573873,LGA,New York,0.646326183027276,1.1318908985409502,1.7318071007029496,2.5805462042454095,-0.21767871125382277,1,0,3
2013-01-05,MIA,Miami,-2.5758219049268005,0.7710644540290597,LGA,New York,0.646326183027276,1.1318908985409502,2.197084533692741,1.3889764218316067,-0.7168710240586463,1,2,0
2012-08-12,LGA,New York,0.6363344145147665,1.138930205242993,BOS,Boston,0.9837131958045018,1.2957679320073814,-1.8440948546153442,-1.3504921324553536,-1.0291425717700262,1,1,2
2012-02-29,SFO,San Francisco,-0.04071243283613562,-1.6411371988017678,SEA,Seattle,2.0646115165669774,-1.6363268727046463,-0.20177606048326935,0.4078038471338959,-0.8579119505293998,2,0,3
2013-01-31,ATL,Atlanta,-0.8943979245601477,0.5339094331141337,SFO,San Francisco,-0.025061221818141473,-1.6400750230449435,-1.841345356238466,-1.9552370564544543,1.525635274305586,2,0,0
2012-03-09,MSP,Minneapolis,1.5162715326285485,0.02986965958372141,ORD,Chicago,0.901711524924661,0.3299312040738194,-0.7201610177761186,-0.5959645842574246,-0.8534854202371919,2,0,3
2012-05-22,ORD,Chicago,0.8938725204479091,0.3346266643573873,LAX,Los Angeles,-0.8066000011194456,-1.4133666497775126,0.13609387700596387,0.07142054516526894,0.9821852496295715,2,1,7
2012-09-02,EWR,Newark,0.6181674178432467,1.1219606120897538,MCO,Orlando,-1.9785867482829338,0.7068921531879545,1.1464428808776075,0.9234296519621346,-0.6896561683176605,2,1,2
2012-04-17,DFW,Dallas-Fort Worth,-1.0530102006152278,-0.1888700864776597,ATL,Atlanta,-0.8716107465450657,0.5286332366034194,-1.35560064284235,-1.491524762109393,-0.3214716221907526,2,0,3
2012-09-27,LAX,Los Angeles,-0.8288391727624693,-1.4137662366132386,LAS,Las Vegas,-0.3522048283129221,-1.2272921856374157,2.5890625702105905,2.072350240954734,-0.9935561121336165,2,0,3
2012-05-27,ATL,Atlanta,-0.8943979245601477,0.5339094331141337,ORD,Chicago,0.901711524924661,0.3299312040738194,0.1000395852419601,0.8262599504101177,-0.9850025625154125,2,1,2
2012-01-08,DEN,Denver,0.440057320698251,-0.6265055416448485,LAS,Las Vegas,-0.3522048283129221,-1.2272921856374157,-0.0700895592467022,0.7397085472249932,-0.4714990667956769,2,0,0
2012-02-27,DFW,Dallas-Fort Worth,-1.0530102006152278,-0.1888700864776597,DEN,Denver,0.45168977173065483,-0.6284001361306121,-0.8254057056765844,-0.831523337901615,-0.6771272999865035,2,0,3
2012-02-16,LAX,Los Angeles,-0.8288391727624693,-1.4137662366132386,SEA,Seattle,2.0646115165669774,-1.6363268727046463,-0.5037143954853971,-0.8524311383112386,-0.6692675398119965,2,0,3
2012-02-01,MSP,Minneapolis,1.5162715326285485,0.02986965958372141,ORD,Chicago,0.901711524924661,0.3299312040738194,-0.581158599791874,-0.44578815748953543,-0.8534854202371919,2,0,3
